"interval_from","interval_to","LST_B0_min","LST_B0_max","LST_B0_mean","LST_B0_stDev","LST_B0_sampleCount","LST_B0_noDataCount","poly_id","landcover","elv","uid","check"
2020-01-02,2020-01-03,289.799987792969,289.799987792969,289.799987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-03,2020-01-04,286.799987792969,286.799987792969,286.799987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-05,2020-01-06,286.380004882812,286.380004882812,286.380004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-07,2020-01-08,283.559997558594,283.559997558594,283.559997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-09,2020-01-10,290.700012207031,290.700012207031,290.700012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-10,2020-01-11,285.459991455078,285.459991455078,285.459991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-11,2020-01-12,290.100006103516,290.100006103516,290.100006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-12,2020-01-13,287.260009765625,287.260009765625,287.260009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-14,2020-01-15,286.989990234375,286.989990234375,286.989990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-16,2020-01-17,286.959991455078,286.959991455078,286.959991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-18,2020-01-19,292.339996337891,292.339996337891,292.339996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-19,2020-01-20,289.820007324219,289.820007324219,289.820007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-21,2020-01-22,288.529998779297,288.529998779297,288.529998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-23,2020-01-24,289.179992675781,289.179992675781,289.179992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-25,2020-01-26,288.950012207031,288.950012207031,288.950012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-26,2020-01-27,288.480010986328,288.480010986328,288.480010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-27,2020-01-28,289.309997558594,289.309997558594,289.309997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-28,2020-01-29,288.019989013672,288.019989013672,288.019989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-01-30,2020-01-31,288.799987792969,288.799987792969,288.799987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-01,2020-02-02,288.679992675781,288.679992675781,288.679992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-03,2020-02-04,291.339996337891,291.339996337891,291.339996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-04,2020-02-05,287.609985351562,287.609985351562,287.609985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-06,2020-02-07,284.239990234375,284.239990234375,284.239990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-08,2020-02-09,287.220001220703,287.220001220703,287.220001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-10,2020-02-11,282.959991455078,282.959991455078,282.959991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-11,2020-02-12,283.510009765625,283.510009765625,283.510009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-12,2020-02-13,290.019989013672,290.019989013672,290.019989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-13,2020-02-14,287.260009765625,287.260009765625,287.260009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-15,2020-02-16,285.760009765625,285.760009765625,285.760009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-02-17,2020-02-18,287.239990234375,287.239990234375,287.239990234375,0,65536,13709,20,30,1385,92,"moved a bit"
