interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv,uid,check
2020-01-02,2020-01-03,295.5199890136719,295.5199890136719,295.5199890136719,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-03,2020-01-04,293.20001220703125,293.20001220703125,293.20001220703125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-05,2020-01-06,293.6700134277344,293.6700134277344,293.6700134277344,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-07,2020-01-08,293.3800048828125,293.3800048828125,293.3800048828125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-09,2020-01-10,295.1300048828125,295.1300048828125,295.1300048828125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-10,2020-01-11,292.489990234375,292.489990234375,292.489990234375,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-11,2020-01-12,295.260009765625,295.260009765625,295.260009765625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-12,2020-01-13,294.8299865722656,294.8299865722656,294.8299865722656,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-14,2020-01-15,294.8399963378906,294.8399963378906,294.8399963378906,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-16,2020-01-17,295.07000732421875,295.07000732421875,295.07000732421875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-18,2020-01-19,296.57000732421875,296.57000732421875,296.57000732421875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-19,2020-01-20,295.6600036621094,295.6600036621094,295.6600036621094,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-21,2020-01-22,295.0299987792969,295.0299987792969,295.0299987792969,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-23,2020-01-24,296.010009765625,296.010009765625,296.010009765625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-25,2020-01-26,297.1000061035156,297.1000061035156,297.1000061035156,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-26,2020-01-27,295.2799987792969,295.2799987792969,295.2799987792969,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-27,2020-01-28,296.8900146484375,296.8900146484375,296.8900146484375,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-28,2020-01-29,292.94000244140625,292.94000244140625,292.94000244140625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-01-30,2020-01-31,295.8900146484375,295.8900146484375,295.8900146484375,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-01,2020-02-02,294.8800048828125,294.8800048828125,294.8800048828125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-03,2020-02-04,296.4800109863281,296.4800109863281,296.4800109863281,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-04,2020-02-05,295.17999267578125,295.17999267578125,295.17999267578125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-06,2020-02-07,295.5199890136719,295.5199890136719,295.5199890136719,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-08,2020-02-09,296.0899963378906,296.0899963378906,296.0899963378906,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-10,2020-02-11,293.5299987792969,293.5299987792969,293.5299987792969,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-11,2020-02-12,291.8999938964844,291.8999938964844,291.8999938964844,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-12,2020-02-13,296.9700012207031,296.9700012207031,296.9700012207031,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-13,2020-02-14,296.29998779296875,296.29998779296875,296.29998779296875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-15,2020-02-16,295.0400085449219,295.0400085449219,295.0400085449219,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-17,2020-02-18,295.54998779296875,295.54998779296875,295.54998779296875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-19,2020-02-20,297.6400146484375,297.6400146484375,297.6400146484375,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-20,2020-02-21,295.1499938964844,295.1499938964844,295.1499938964844,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-22,2020-02-23,295.260009765625,295.260009765625,295.260009765625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-24,2020-02-25,295.2300109863281,295.2300109863281,295.2300109863281,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-26,2020-02-27,297.4100036621094,297.4100036621094,297.4100036621094,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-27,2020-02-28,295.6499938964844,295.6499938964844,295.6499938964844,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-28,2020-02-29,296.0799865722656,296.0799865722656,296.0799865722656,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-02-29,2020-03-01,295.9200134277344,295.9200134277344,295.9200134277344,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-02,2020-03-03,296.32000732421875,296.32000732421875,296.32000732421875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-04,2020-03-05,298.57000732421875,298.57000732421875,298.57000732421875,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-06,2020-03-07,296.5299987792969,296.5299987792969,296.5299987792969,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-07,2020-03-08,294.1600036621094,294.1600036621094,294.1600036621094,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-09,2020-03-10,297.3999938964844,297.3999938964844,297.3999938964844,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-11,2020-03-12,295.1000061035156,295.1000061035156,295.1000061035156,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-13,2020-03-14,298.2900085449219,298.2900085449219,298.2900085449219,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-14,2020-03-15,297.2200012207031,297.2200012207031,297.2200012207031,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-15,2020-03-16,298.6099853515625,298.6099853515625,298.6099853515625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-16,2020-03-17,296.6300048828125,296.6300048828125,296.6300048828125,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-18,2020-03-19,297.010009765625,297.010009765625,297.010009765625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-20,2020-03-21,297.2200012207031,297.2200012207031,297.2200012207031,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
2020-03-22,2020-03-23,295.69000244140625,295.69000244140625,295.69000244140625,0.0,65536,13451,285,30,56,1314,"FALSE, moved"
