"location","index","date","value"
"Altamira","temp_max_C",1999-08-27,21.49
"Altamira","temp_max_C",1999-08-28,22.48
"Altamira","temp_max_C",1999-08-29,23.22
"Altamira","temp_max_C",1999-08-30,23.83
"Altamira","temp_max_C",1999-08-31,24.49
"Altamira","temp_max_C",1999-09-01,23.86
"Altamira","temp_max_C",1999-09-02,23.84
"Altamira","temp_max_C",1999-09-03,23.39
"Altamira","temp_max_C",1999-09-04,23.59
"Altamira","temp_max_C",1999-09-05,24.26
"Altamira","temp_max_C",1999-09-06,22.65
"Altamira","temp_max_C",1999-09-07,24.35
"Altamira","temp_max_C",1999-09-08,23.23
"Altamira","temp_max_C",1999-09-09,22.45
"Altamira","temp_max_C",1999-09-10,23.88
"Altamira","temp_max_C",1999-09-11,22.82
"Altamira","temp_max_C",1999-09-12,23.51
"Altamira","temp_max_C",1999-09-13,22.62
"Altamira","temp_max_C",1999-09-14,22.32
"Altamira","temp_max_C",1999-09-15,23.02
"Altamira","temp_max_C",1999-09-16,22.79
"Altamira","temp_max_C",1999-09-17,23.19
"Altamira","temp_max_C",1999-09-18,22.25
"Altamira","temp_max_C",1999-09-19,21.08
"Altamira","temp_max_C",1999-09-20,24.02
"Altamira","temp_max_C",1999-09-21,24.59
"Altamira","temp_max_C",1999-09-22,24.02
"Altamira","temp_max_C",1999-09-23,23.45
"Altamira","temp_max_C",1999-09-24,24.55
"Altamira","temp_max_C",1999-09-25,22.78
"Altamira","temp_max_C",1999-09-26,23.53
"Altamira","temp_max_C",1999-09-27,22.43
"Altamira","temp_max_C",1999-09-28,18.42
"Altamira","temp_max_C",1999-09-29,19.45
"Altamira","temp_max_C",1999-09-30,21.09
"Altamira","temp_max_C",1999-10-01,22.14
"Altamira","temp_max_C",1999-10-02,22.42
"Altamira","temp_max_C",1999-10-03,24.33
"Altamira","temp_max_C",1999-10-04,23.39
"Altamira","temp_max_C",1999-10-05,23.56
"Altamira","temp_max_C",1999-10-06,23.65
"Altamira","temp_max_C",1999-10-07,21.98
"Altamira","temp_max_C",1999-10-08,24.66
"Altamira","temp_max_C",1999-10-09,23.58
"Altamira","temp_max_C",1999-10-10,24.29
"Altamira","temp_max_C",1999-10-11,21.63
"Altamira","temp_max_C",1999-10-12,23.02
"Altamira","temp_max_C",1999-10-13,24.34
"Altamira","temp_max_C",1999-10-14,21.62
"Altamira","temp_max_C",1999-10-15,24.22
"Altamira","temp_max_C",1999-10-16,24.54
"Altamira","temp_max_C",1999-10-17,22.89
"Altamira","temp_max_C",1999-10-18,22.39
"Altamira","temp_max_C",1999-10-19,24.38
"Altamira","temp_max_C",1999-10-20,22.27
"Altamira","temp_max_C",1999-10-21,22.99
"Altamira","temp_max_C",1999-10-22,24.19
"Altamira","temp_max_C",1999-10-23,24.04
