"location","year_month","month_min"
"Altamira",1999-08-01,14.6
"Altamira",1999-09-01,14.6
"Altamira",1999-10-01,14.2
"Altamira",1999-11-01,12.82
"Altamira",1999-12-01,12.66
"Altamira",2000-01-01,10.93
"Altamira",2000-02-01,11.55
"Altamira",2000-03-01,11.79
"Altamira",2000-04-01,10.76
"Altamira",2000-05-01,14.39
"Altamira",2000-06-01,14.7
"Altamira",2000-07-01,12.76
"Altamira",2000-08-01,13.81
"Altamira",2000-09-01,14.2
"Altamira",2000-10-01,12.53
"Altamira",2000-11-01,11.48
"Altamira",2000-12-01,11.38
"Altamira",2001-01-01,10.88
"Altamira",2001-02-01,11.51
"Altamira",2001-03-01,12.36
"Altamira",2001-04-01,12.46
"Altamira",2001-05-01,14.16
"Altamira",2001-06-01,12.45
"Altamira",2001-07-01,12.92
"Altamira",2001-08-01,13.96
"Altamira",2001-09-01,12.96
"Altamira",2001-10-01,14.7
"Altamira",2001-11-01,13.96
"Altamira",2001-12-01,11.75
"Altamira",2002-01-01,10.02
"Altamira",2002-02-01,10.91
"Altamira",2002-03-01,11.35
"Altamira",2002-04-01,12.28
"Altamira",2002-05-01,13.81
"Altamira",2002-06-01,13.46
"Altamira",2002-07-01,13.79
"Altamira",2002-08-01,13.3
"Altamira",2002-09-01,13.72
"Altamira",2002-10-01,13.18
"Altamira",2002-11-01,12.11
"Altamira",2002-12-01,11.42
"Altamira",2003-01-01,10.18
"Altamira",2003-02-01,11.08
"Altamira",2003-03-01,12.12
"Altamira",2003-04-01,12.41
"Altamira",2003-05-01,13.42
"Altamira",2003-06-01,13.85
"Altamira",2003-07-01,13.05
"Altamira",2003-08-01,13.28
"Altamira",2003-09-01,13.08
"Altamira",2003-10-01,13.82
"Altamira",2003-11-01,13.26
"Altamira",2003-12-01,12.32
"Altamira",2004-01-01,10.69
"Altamira",2004-02-01,11.16
"Altamira",2004-03-01,12.26
"Altamira",2004-04-01,12.79
"Altamira",2004-05-01,13.79
"Altamira",2004-06-01,12.28
"Altamira",2004-07-01,12.08
"Altamira",2004-08-01,13.12
"Altamira",2004-09-01,13.23
"Altamira",2004-10-01,12.96
"Altamira",2004-11-01,11.93
"Altamira",2004-12-01,10.89
"Altamira",2005-01-01,11.75
"Altamira",2005-02-01,11.22
"Altamira",2005-03-01,12.29
"Altamira",2005-04-01,12.69
"Altamira",2005-05-01,13.43
"Altamira",2005-06-01,14.01
"Altamira",2005-07-01,13.53
"Altamira",2005-08-01,13.49
"Altamira",2005-09-01,13.27
"Altamira",2005-10-01,13.16
"Altamira",2005-11-01,12.73
"Altamira",2005-12-01,10.06
"Altamira",2006-01-01,11.35
"Altamira",2006-02-01,10.54
"Altamira",2006-03-01,11.02
"Altamira",2006-04-01,12.62
"Altamira",2006-05-01,12.41
"Altamira",2006-06-01,13.4
"Altamira",2006-07-01,13
"Altamira",2006-08-01,13.27
"Altamira",2006-09-01,13.1
"Altamira",2006-10-01,12.49
"Altamira",2006-11-01,12.79
"Altamira",2006-12-01,11.55
"Altamira",2007-01-01,11.96
"Altamira",2007-02-01,11.25
"Altamira",2007-03-01,11.55
"Altamira",2007-04-01,11.77
