"location","year_month","month_max"
"Altamira",1999-08-01,24.49
"Altamira",1999-09-01,24.59
"Altamira",1999-10-01,24.95
"Altamira",1999-11-01,24.46
"Altamira",1999-12-01,24.96
"Altamira",2000-01-01,25.88
"Altamira",2000-02-01,26.66
"Altamira",2000-03-01,26.67
"Altamira",2000-04-01,26.61
"Altamira",2000-05-01,25.86
"Altamira",2000-06-01,25.27
"Altamira",2000-07-01,25.32
"Altamira",2000-08-01,25.83
"Altamira",2000-09-01,26.23
"Altamira",2000-10-01,26.46
"Altamira",2000-11-01,25.05
"Altamira",2000-12-01,25.85
"Altamira",2001-01-01,26.13
"Altamira",2001-02-01,30.26
"Altamira",2001-03-01,27.54
"Altamira",2001-04-01,28.02
"Altamira",2001-05-01,27.19
"Altamira",2001-06-01,26.17
"Altamira",2001-07-01,25.62
"Altamira",2001-08-01,25.64
"Altamira",2001-09-01,25.94
"Altamira",2001-10-01,25.19
"Altamira",2001-11-01,24.68
"Altamira",2001-12-01,25.77
"Altamira",2002-01-01,27.21
"Altamira",2002-02-01,28.02
"Altamira",2002-03-01,28.49
"Altamira",2002-04-01,27.78
"Altamira",2002-05-01,26.78
"Altamira",2002-06-01,24.9
"Altamira",2002-07-01,25.56
"Altamira",2002-08-01,25.22
"Altamira",2002-09-01,25.19
"Altamira",2002-10-01,26.05
"Altamira",2002-11-01,25.48
"Altamira",2002-12-01,26.68
"Altamira",2003-01-01,27.87
"Altamira",2003-02-01,31.24
"Altamira",2003-03-01,27.94
"Altamira",2003-04-01,27.86
"Altamira",2003-05-01,25.18
"Altamira",2003-06-01,24.79
"Altamira",2003-07-01,26.2
"Altamira",2003-08-01,24.87
"Altamira",2003-09-01,25.03
"Altamira",2003-10-01,25.19
"Altamira",2003-11-01,24.52
"Altamira",2003-12-01,25.72
"Altamira",2004-01-01,26.75
"Altamira",2004-02-01,27.83
"Altamira",2004-03-01,29.28
"Altamira",2004-04-01,27.68
"Altamira",2004-05-01,25.74
"Altamira",2004-06-01,27.63
"Altamira",2004-07-01,24.43
"Altamira",2004-08-01,25.83
"Altamira",2004-09-01,25.4
"Altamira",2004-10-01,26
"Altamira",2004-11-01,25.05
"Altamira",2004-12-01,26.02
"Altamira",2005-01-01,27.16
"Altamira",2005-02-01,28.25
"Altamira",2005-03-01,26.99
"Altamira",2005-04-01,26.64
"Altamira",2005-05-01,26.4
"Altamira",2005-06-01,25.03
"Altamira",2005-07-01,26.25
"Altamira",2005-08-01,26.58
"Altamira",2005-09-01,25.42
"Altamira",2005-10-01,24.14
"Altamira",2005-11-01,24.64
"Altamira",2005-12-01,26.29
"Altamira",2006-01-01,27.44
"Altamira",2006-02-01,28.17
"Altamira",2006-03-01,28.64
"Altamira",2006-04-01,26.58
"Altamira",2006-05-01,25
"Altamira",2006-06-01,25.49
"Altamira",2006-07-01,25.67
"Altamira",2006-08-01,25.46
"Altamira",2006-09-01,26.69
"Altamira",2006-10-01,25.54
"Altamira",2006-11-01,25.81
"Altamira",2006-12-01,25.74
"Altamira",2007-01-01,26.73
"Altamira",2007-02-01,27.97
"Altamira",2007-03-01,28
"Altamira",2007-04-01,26
"Altamira",2007-05-01,25.55
"Altamira",2007-06-01,24.17
"Altamira",2007-07-01,24.58
"Altamira",2007-08-01,23.97
"Altamira",2007-09-01,24.38
"Altamira",2007-10-01,24.38
"Altamira",2007-11-01,22.87
"Altamira",2008-06-01,24.08
"Altamira",2008-07-01,23.57
"Altamira",2008-08-01,23.9
"Altamira",2008-09-01,24.83
"Altamira",2008-10-01,24.59
"Altamira",2008-11-01,24.79
"Altamira",2008-12-01,24.59
"Altamira",2009-01-01,25.14
"Altamira",2009-02-01,27.84
"Altamira",2009-03-01,28.48
"Altamira",2009-04-01,26.92
"Altamira",2009-05-01,25.44
"Altamira",2009-06-01,25.58
"Altamira",2009-07-01,26.54
"Altamira",2009-08-01,26.98
"Altamira",2009-09-01,26.68
"Altamira",2009-10-01,26.85
"Altamira",2009-11-01,26.62
"Altamira",2009-12-01,27.03
"Altamira",2010-01-01,27.79
"Altamira",2010-02-01,28.92
"Altamira",2010-03-01,28.37
"Altamira",2010-04-01,27.29
"Altamira",2010-05-01,27.57
"Altamira",2010-06-01,26.1
"Altamira",2010-07-01,25.19
"Altamira",2010-08-01,25.29
"Altamira",2010-09-01,24.4
"Altamira",2010-10-01,24.89
"Altamira",2010-11-01,23.81
"Altamira",2010-12-01,25.07
"Altamira",2011-01-01,25.38
"Altamira",2011-02-01,26.3
"Altamira",2011-03-01,26.61
"Altamira",2011-04-01,25.59
"Altamira",2011-05-01,25.93
"Altamira",2011-06-01,24.9
"Altamira",2011-07-01,25.93
"Altamira",2011-08-01,24.47
"Altamira",2011-09-01,25.48
"Altamira",2011-10-01,25.59
"Altamira",2011-11-01,24.64
"Altamira",2011-12-01,25.22
"Altamira",2012-01-01,26.79
"Altamira",2012-02-01,28.19
"Altamira",2012-03-01,29.86
"Altamira",2012-04-01,27.65
"Altamira",2012-05-01,25.95
"Altamira",2012-06-01,25.53
"Altamira",2012-07-01,25.91
"Altamira",2012-08-01,26.39
"Altamira",2012-09-01,26.05
"Altamira",2012-10-01,26.36
"Altamira",2012-11-01,25.21
"Altamira",2012-12-01,26.4
"Altamira",2013-01-01,26.92
"Altamira",2013-02-01,28.42
"Altamira",2013-03-01,28.46
"Altamira",2013-04-01,29.27
"Altamira",2013-05-01,26.09
"Altamira",2013-06-01,26.37
"Altamira",2013-07-01,25.34
"Altamira",2013-08-01,25.89
"Altamira",2013-09-01,25.79
"Altamira",2013-10-01,25.15
"Altamira",2013-11-01,23.66
"Altamira",2013-12-01,25.25
"Altamira",2014-01-01,26.17
"Altamira",2014-02-01,32.91
"Altamira",2014-03-01,29.16
"Altamira",2014-04-01,27.62
"Altamira",2014-05-01,27.26
"Altamira",2014-06-01,26.39
"Altamira",2014-07-01,26.32
"Altamira",2014-08-01,25.83
"Altamira",2014-09-01,25.77
"Altamira",2014-10-01,26.07
"Altamira",2014-11-01,26.01
"Altamira",2014-12-01,28.11
"Altamira",2015-01-01,28.06
"Altamira",2015-02-01,29.28
"Altamira",2015-03-01,29.1
"Altamira",2015-04-01,27.9
"Altamira",2015-05-01,27.5
"Altamira",2015-06-01,27.1
"Altamira",2015-07-01,26.8
"Altamira",2015-08-01,27.8
"Altamira",2015-09-01,30.3
"Altamira",2015-10-01,26.9
"Altamira",2015-11-01,27.4
"Altamira",2015-12-01,28.5
"Altamira",2016-01-01,30.6
"Altamira",2016-02-01,29.7
"Altamira",2016-03-01,28.6
"Altamira",2016-04-01,26.4
"Altamira",2016-05-01,25.7
"Altamira",2016-06-01,25.5
"Altamira",2016-07-01,25.5
"Altamira",2016-08-01,25.4
"Altamira",2016-09-01,25.3
"Altamira",2016-10-01,26.7
"Altamira",2016-11-01,26.6
"Altamira",2016-12-01,27.6
"Altamira",2017-01-01,29.1
"Altamira",2017-02-01,28
"Altamira",2017-03-01,25
"Altamira",2017-06-01,25.6
"Altamira",2017-07-01,25
"Altamira",2017-08-01,24.8
"Altamira",2017-09-01,26.2
"Altamira",2017-10-01,24
"Altamira",2017-11-01,25.6
"Altamira",2017-12-01,25.6
"Altamira",2018-01-01,27.4
"Altamira",2018-02-01,28.3
"Altamira",2018-03-01,25.7
"Altamira",2018-04-01,25.4
"Altamira",2018-05-01,25
"Altamira",2018-06-01,24.2
"Altamira",2018-07-01,24.9
"Altamira",2018-08-01,25.1
"Altamira",2018-09-01,24
"Altamira",2018-10-01,24.2
"Altamira",2018-11-01,25.8
"Altamira",2018-12-01,27.8
"Altamira",2019-01-01,28.2
"Altamira",2019-02-01,28.6
"Altamira",2019-03-01,27.9
"Altamira",2019-04-01,26.1
"Altamira",2019-05-01,26
"Altamira",2019-06-01,25.4
"Altamira",2019-07-01,25.3
"Altamira",2019-08-01,25.2
"Altamira",2019-09-01,24.6
"Altamira",2019-10-01,24.4
"Altamira",2019-11-01,28.2
"Altamira",2019-12-01,27.7
"Altamira",2020-01-01,29.3
"Altamira",2020-02-01,29.3
"Altamira",2020-03-01,27.3
"Altamira",2020-04-01,25.9
"Altamira",2020-05-01,25.2
"Altamira",2020-06-01,24.6
"Altamira",2020-07-01,25
"Altamira",2020-08-01,25.2
"Altamira",2020-09-01,24.8
"Altamira",2020-10-01,23.9
"Altamira",2020-11-01,26.3
"Altamira",2020-12-01,26.9
"Altamira",2021-01-01,27.2
"Altamira",2021-02-01,26.4
"Altamira",2021-03-01,27.2
"Altamira",2021-04-01,24.5
"Altamira",2021-05-01,25.3
"Altamira",2021-06-01,25.3
"Altamira",2021-07-01,25
"Altamira",2021-08-01,25.1
"Altamira",2021-09-01,26.4
"Altamira",2021-10-01,24.6
"Altamira",2021-11-01,24.9
"Altamira",2021-12-01,26.5
"Altamira",2022-01-01,26.9
"Altamira",2022-02-01,27.4
"Altamira",2022-03-01,25.6
"Altamira",2022-04-01,25.2
"Altamira",2022-05-01,24.7
"Altamira",2022-06-01,23.7
"Altamira",2022-07-01,24.8
"Altamira",2022-08-01,24
"Altamira",2022-09-01,23.7
"Altamira",2022-10-01,24.7
"Altamira",2022-11-01,24.9
"Altamira",2022-12-01,26.6
"Altamira",2023-01-01,28.8
"Altamira",2023-02-01,27.1
"Altamira",2023-03-01,26.8
"Altamira",2023-04-01,27.4
"Altamira",2023-05-01,26.6
"Altamira",2023-06-01,26.3
"Altamira",2023-07-01,25.2
"Altamira",2023-08-01,24.8
"Altamira",2023-09-01,25.1
"Altamira",2023-10-01,25.4
"Altamira",2023-11-01,26.5
"Altamira",2023-12-01,26.9
"Altamira",2024-01-01,28.2
"Altamira",2024-02-01,29.5
"Altamira",2024-03-01,28.8
"Altamira",2024-04-01,25.5
"Altamira",2024-05-01,26.1
"Altamira",NA,27.66
"Ciudad_Neily",2013-05-01,33.23
"Ciudad_Neily",2013-06-01,34.07
"Ciudad_Neily",2013-07-01,33.91
"Ciudad_Neily",2013-08-01,33.33
"Ciudad_Neily",2013-09-01,34.11
"Ciudad_Neily",2013-10-01,33.09
"Ciudad_Neily",2013-11-01,32.36
"Ciudad_Neily",2013-12-01,33.42
"Ciudad_Neily",2014-01-01,34.84
"Ciudad_Neily",2014-02-01,35.35
"Ciudad_Neily",2014-03-01,35.39
"Ciudad_Neily",2014-04-01,35.96
"Ciudad_Neily",2014-05-01,34.13
"Ciudad_Neily",2014-06-01,34.33
"Ciudad_Neily",2014-07-01,34.07
"Ciudad_Neily",2014-08-01,33.24
"Ciudad_Neily",2014-09-01,33.64
"Ciudad_Neily",2014-10-01,33.81
"Ciudad_Neily",2014-11-01,33.31
"Ciudad_Neily",2014-12-01,33.76
"Ciudad_Neily",2015-01-01,34.04
"Ciudad_Neily",2015-02-01,35.42
"Ciudad_Neily",2015-03-01,36.02
"Ciudad_Neily",2015-04-01,36.1
"Ciudad_Neily",2015-05-01,35.8
"Ciudad_Neily",2015-06-01,35.4
"Ciudad_Neily",2015-07-01,35.8
"Ciudad_Neily",2015-08-01,38.2
"Ciudad_Neily",2015-09-01,35
"Ciudad_Neily",2015-10-01,34.3
"Ciudad_Neily",2015-11-01,33.9
"Ciudad_Neily",2015-12-01,35.5
