		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/04/19	0:30	79.4	79.7	79.4	92	76.9	0.0	---	0.00	0.0	---	79.4	86.1	86.1	84.6	29.797	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.300	83.1	85	78.1	93.8	17.76	 .0704	0.000	700	1	100.0	30
01/04/19	1:00	79.3	79.6	79.3	92	76.8	0.0	---	0.00	0.0	---	79.3	85.9	85.9	84.4	29.787	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.298	82.9	86	78.3	93.6	18.18	 .0704	0.000	702	1	100.0	30
01/04/19	1:30	79.2	79.3	79.2	92	76.7	0.0	---	0.00	0.0	---	79.2	85.7	85.7	84.2	29.776	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.296	82.6	86	78.0	92.8	18.19	 .0705	0.000	702	1	100.0	30
01/04/19	2:00	78.9	79.2	78.9	93	76.7	0.0	---	0.00	0.0	---	78.9	85.2	85.2	83.7	29.772	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.290	82.5	86	77.9	92.5	18.20	 .0705	0.000	699	1	100.0	30
01/04/19	2:30	79.1	79.1	78.9	93	76.9	0.0	---	0.00	0.0	---	79.1	85.7	85.7	84.2	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.294	82.5	86	77.9	92.5	18.20	 .0705	0.000	700	1	100.0	30
01/04/19	3:00	78.8	79.1	78.8	93	76.6	0.0	---	0.00	0.0	---	78.8	85.0	85.0	83.5	29.766	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.288	82.2	87	77.9	92.0	18.62	 .0705	0.000	700	1	100.0	30
01/04/19	3:30	78.8	78.9	78.7	93	76.6	0.0	ENE	0.00	2.0	ENE	78.8	85.0	85.0	83.5	29.772	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.288	82.0	87	77.7	91.5	18.63	 .0706	0.000	702	1	100.0	30
01/04/19	4:00	79.0	79.1	78.8	93	76.8	0.0	---	0.00	0.0	---	79.0	85.4	85.4	83.9	29.775	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.292	82.1	87	77.8	91.7	18.62	 .0705	0.000	701	1	100.0	30
01/04/19	4:30	79.0	79.1	78.9	93	76.8	0.0	ENE	0.00	1.0	ENE	79.0	85.4	85.4	83.9	29.793	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.292	82.1	87	77.8	91.7	18.62	 .0706	0.000	699	1	100.0	30
