		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/09/19	0:30	76.4	76.6	76.4	90	73.2	0.0	NNW	0.00	1.0	NNW	76.4	79.6	79.6	78.1	29.790	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	80.1	91	77.2	87.6	21.04	 .0709	0.000	697	1	100.0	30
01/09/19	1:00	76.6	76.6	76.4	90	73.4	0.0	NNW	0.00	1.0	NNW	76.6	80.0	80.0	78.5	29.784	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.242	80.1	92	77.6	87.9	21.15	 .0708	0.000	701	1	100.0	30
01/09/19	1:30	76.5	76.7	76.4	90	73.3	0.0	NNW	0.00	1.0	NNW	76.5	79.8	79.8	78.3	29.781	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	79.9	92	77.4	87.4	21.15	 .0709	0.000	696	1	100.0	30
01/09/19	2:00	76.3	76.6	76.3	90	73.1	0.0	NNW	0.00	1.0	NNW	76.3	79.5	79.5	78.0	29.772	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.235	79.7	92	77.2	86.9	21.14	 .0709	0.000	703	1	100.0	30
01/09/19	2:30	76.0	76.3	76.0	90	72.9	0.0	---	0.00	0.0	---	76.0	79.0	79.0	77.4	29.755	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	79.5	92	77.0	86.4	21.14	 .0709	0.000	702	1	100.0	30
01/09/19	3:00	75.8	76.1	75.8	90	72.7	0.0	---	0.00	0.0	---	75.8	78.7	78.7	77.1	29.757	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	79.4	92	76.9	86.1	21.14	 .0709	0.000	698	1	100.0	30
01/09/19	3:30	75.9	75.9	75.8	90	72.8	0.0	NNW	0.00	1.0	NNW	75.9	78.9	78.9	77.3	29.748	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.227	79.2	92	76.7	85.7	21.13	 .0709	0.000	700	1	100.0	30
01/09/19	4:00	76.0	76.1	75.8	90	72.9	0.0	NNW	0.00	2.0	NNW	76.0	79.0	79.0	77.4	29.756	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	79.0	92	76.5	85.2	21.13	 .0710	0.000	701	1	100.0	30
01/09/19	4:30	75.8	76.1	75.8	90	72.7	0.0	NNW	0.00	1.0	NNW	75.8	78.7	78.7	77.1	29.784	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	79.2	92	76.7	85.7	21.13	 .0710	0.000	700	1	100.0	30
