		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
08/01/20	12:30 a	78.9	78.9	78.6	100	78.9	0.0	---	0.00	0.0	---	78.9	86.6	86.6	85.3	29.692	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.290	-52.3	0	---	-52.4	-52.4	 .0967	0.000	701	1	100.0	30
08/01/20	1:00 a	79.0	79.0	78.7	100	79.0	0.0	---	0.00	0.0	---	79.0	86.8	86.8	85.6	29.799	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.292	-52.3	0	---	-52.4	-52.4	 .0970	0.000	703	1	100.0	30
08/01/20	1:30 a	78.9	79.0	78.8	100	78.9	0.0	---	0.00	0.0	---	78.9	86.6	86.6	85.3	29.692	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.290	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
08/01/20	2:00 a	78.7	79.0	78.7	100	78.7	0.0	---	0.00	0.0	---	78.7	86.1	86.1	84.8	29.692	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.285	-52.3	0	---	-52.4	-52.4	 .0967	0.000	703	1	100.0	30
08/01/20	2:30 a	78.3	78.8	78.1	100	78.3	0.0	ESE	0.00	1.0	ESE	78.3	85.1	85.1	83.8	29.692	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.277	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
08/01/20	3:00 a	77.8	78.4	77.8	100	77.8	0.0	---	0.00	0.0	---	77.8	84.0	84.0	82.6	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.267	-52.3	0	---	-52.4	-52.4	 .0970	0.000	703	1	100.0	30
08/01/20	3:30 a	77.9	78.0	77.7	100	77.9	0.0	ESE	0.00	1.0	ESE	77.9	84.2	84.2	82.8	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.269	-52.3	0	---	-52.4	-52.4	 .0970	0.000	702	1	100.0	30
08/01/20	4:00 a	78.0	78.0	77.9	100	78.0	0.0	---	0.00	0.0	---	78.0	84.4	84.4	83.1	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.271	-52.3	0	---	-52.4	-52.4	 .0970	0.000	701	1	100.0	30
08/01/20	4:30 a	78.1	78.1	77.9	100	78.1	0.0	---	0.00	0.0	---	78.1	84.6	84.6	83.3	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.273	-52.3	0	---	-52.4	-52.4	 .0970	0.000	703	1	100.0	30
08/01/20	5:00 a	77.8	78.2	77.8	100	77.8	0.0	ESE	0.00	1.0	ESE	77.8	84.0	84.0	82.6	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.267	-52.3	0	---	-52.4	-52.4	 .0970	0.000	701	1	100.0	30
08/01/20	5:30 a	78.2	78.2	77.7	100	78.2	0.0	---	0.00	0.0	---	78.2	84.9	84.9	83.6	29.777	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.275	-52.3	0	---	-52.4	-52.4	 .0970	0.000	702	1	100.0	30
08/01/20	6:00 a	78.5	78.5	78.1	100	78.5	0.0	---	0.00	0.0	---	78.5	85.6	85.6	84.4	29.777	0.00	0.00	6	0.26	18	0.0	0.00	0.0	0.000	0.281	-52.3	0	---	-52.4	-52.4	 .0970	0.000	698	1	100.0	30
