		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
12/15/20	6:00 a	73.3	73.5	73.2	100	73.3	0.0	---	0.00	0.0	---	73.3	76.9	76.9	75.3	29.693	0.00	0.00	4	0.17	12	0.0	0.00	0.0	0.000	0.173	-52.3	0	---	-52.4	-52.4	 .0967	0.000	703	1	100.0	30
12/15/20	6:30 a	73.8	73.8	73.2	100	73.8	0.0	---	0.00	0.0	---	73.8	77.4	77.4	76.1	29.693	0.00	0.00	19	0.82	25	0.0	0.00	0.0	0.000	0.183	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	7:00 a	74.6	74.6	73.7	100	74.6	0.0	---	0.00	0.0	---	74.6	78.3	78.3	78.8	29.693	0.00	0.00	28	1.20	32	0.0	0.00	0.0	0.000	0.200	-52.3	0	---	-52.4	-52.4	 .0967	0.001	703	1	100.0	30
12/15/20	7:30 a	75.2	75.2	74.5	100	75.2	0.0	---	0.00	0.0	---	75.2	79.1	79.1	79.7	29.693	0.00	0.00	33	1.42	35	0.0	0.00	0.0	0.000	0.212	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
12/15/20	8:00 a	76.4	76.4	75.1	100	76.4	0.0	SE	0.00	2.0	SE	76.4	81.1	81.1	81.8	29.693	0.00	0.00	41	1.76	63	0.0	0.00	0.8	0.000	0.238	-52.3	0	---	-52.4	-52.4	 .0967	0.001	698	1	100.0	30
12/15/20	8:30 a	76.3	76.7	75.7	100	76.3	1.0	SE	0.50	5.0	SSE	76.3	80.9	80.9	82.0	29.693	0.00	0.00	60	2.58	160	0.4	0.09	1.7	0.000	0.235	-52.3	0	---	-52.4	-52.4	 .0967	0.000	701	1	100.0	30
12/15/20	9:00 a	77.6	77.6	76.3	100	77.6	1.0	SSE	0.50	6.0	ESE	77.6	83.5	83.5	84.5	29.693	0.00	0.00	60	2.58	84	1.1	0.24	1.9	0.000	0.262	-52.3	0	---	-52.4	-52.4	 .0967	0.001	700	1	100.0	30
12/15/20	9:30 a	81.7	81.7	77.6	100	81.7	2.0	ESE	1.00	7.0	SE	81.7	94.7	94.7	106.8	29.693	0.00	0.00	592	25.46	759	3.5	0.75	4.4	0.000	0.348	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	10:00 a	83.5	83.6	81.8	100	83.5	1.0	ESE	0.50	6.0	ESE	83.5	101.1	101.1	113.2	29.693	0.00	0.00	776	33.37	819	5.0	1.07	5.5	0.000	0.385	-52.3	0	---	-52.4	-52.4	 .0967	0.017	698	1	100.0	30
12/15/20	10:30 a	84.1	84.6	83.6	100	84.1	2.0	SSE	1.00	8.0	ESE	84.1	103.5	103.5	116.1	29.693	0.00	0.00	862	37.07	889	5.9	1.26	6.3	0.000	0.398	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	11:00 a	83.8	85.0	83.8	100	83.8	3.0	SE	1.50	8.0	SSE	83.8	102.3	102.3	115.1	29.693	0.00	0.00	720	30.96	881	6.3	1.35	7.1	0.000	0.392	-52.3	0	---	-52.4	-52.4	 .0967	0.020	697	1	100.0	30
12/15/20	11:30 a	84.4	84.9	83.6	100	84.4	2.0	SE	1.00	9.0	SE	84.4	104.9	104.9	117.5	29.693	0.00	0.00	930	40.00	965	7.0	1.50	7.3	0.000	0.404	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
12/15/20	12:00 p	84.4	84.8	83.8	100	84.4	2.0	ESE	1.00	7.0	S	84.4	104.9	104.9	117.4	29.693	0.00	0.00	921	39.61	940	7.0	1.50	7.0	0.000	0.404	-52.3	0	---	-52.4	-52.4	 .0967	0.024	698	1	100.0	30
12/15/20	12:30 p	84.1	85.1	84.0	100	84.1	3.0	ESE	1.50	9.0	SW	84.1	103.5	103.5	116.5	29.693	0.00	0.00	928	39.91	960	6.8	1.46	7.0	0.000	0.398	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	1:00 p	84.3	85.4	83.8	100	84.3	3.0	SE	1.50	11.0	SE	84.3	104.5	104.5	117.4	29.693	0.00	0.00	874	37.59	916	6.2	1.33	6.5	0.000	0.402	-52.3	0	---	-52.4	-52.4	 .0967	0.023	700	1	100.0	30
12/15/20	1:30 p	84.6	85.1	83.7	100	84.6	3.0	SE	1.50	10.0	S	84.6	105.8	105.8	118.8	29.693	0.00	0.00	818	35.18	888	5.3	1.14	5.8	0.000	0.408	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
12/15/20	2:00 p	83.5	84.6	82.9	100	83.5	3.0	SE	1.50	10.0	SSE	83.5	101.1	101.1	113.4	29.693	0.00	0.00	682	29.33	1009	4.1	0.88	5.4	0.000	0.385	-52.3	0	---	-52.4	-52.4	 .0967	0.019	700	1	100.0	30
12/15/20	2:30 p	82.1	83.8	82.1	100	82.1	2.0	SE	1.00	12.0	SE	82.1	96.0	96.0	106.2	29.693	0.00	0.00	409	17.59	687	2.7	0.58	3.8	0.000	0.356	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
12/15/20	3:00 p	81.4	82.7	81.4	100	81.4	2.0	SE	1.00	7.0	SSW	81.4	93.8	93.8	101.3	29.693	0.00	0.00	261	11.22	487	1.7	0.36	2.7	0.000	0.342	-52.3	0	---	-52.4	-52.4	 .0967	0.009	699	1	100.0	30
12/15/20	3:30 p	81.7	82.5	81.4	100	81.7	1.0	SE	0.50	6.0	E	81.7	94.7	94.7	102.9	29.693	0.00	0.00	256	11.01	376	1.1	0.24	1.4	0.000	0.348	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	4:00 p	80.1	81.7	80.0	100	80.1	1.0	ESE	0.50	6.0	ESE	80.1	89.9	89.9	94.7	29.693	0.00	0.00	132	5.68	302	0.6	0.13	0.7	0.000	0.315	-52.3	0	---	-52.4	-52.4	 .0967	0.005	698	1	100.0	30
12/15/20	4:30 p	79.9	80.5	79.8	100	79.9	1.0	ESE	0.50	5.0	SSE	79.9	89.3	89.3	91.9	29.693	0.00	0.00	69	2.97	105	0.0	0.00	0.0	0.000	0.310	-52.3	0	---	-52.4	-52.4	 .0967	0.000	697	1	100.0	30
12/15/20	5:00 p	79.1	79.9	79.1	100	79.1	0.0	SE	0.00	4.0	SE	79.1	87.1	87.1	86.9	29.693	0.00	0.00	36	1.55	47	0.0	0.00	0.0	0.000	0.294	-52.3	0	---	-52.4	-52.4	 .0967	0.001	700	1	100.0	30
12/15/20	5:30 p	77.8	79.1	77.8	100	77.8	0.0	SSE	0.00	3.0	ESE	77.8	84.0	84.0	83.1	29.693	0.00	0.00	8	0.34	25	0.0	0.00	0.0	0.000	0.267	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	6:00 p	77.1	77.7	77.1	100	77.1	0.0	---	0.00	0.0	---	77.1	82.4	82.4	81.3	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.252	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	6:30 p	76.6	77.1	76.5	100	76.6	0.0	---	0.00	0.0	---	76.6	81.4	81.4	80.2	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.242	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	7:00 p	76.5	76.8	76.4	100	76.5	0.0	SSE	0.00	1.0	SSE	76.5	81.3	81.3	80.1	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
12/15/20	7:30 p	76.4	76.5	76.3	100	76.4	0.0	SSE	0.00	1.0	SSE	76.4	81.1	81.1	79.9	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	8:00 p	76.4	76.5	76.4	100	76.4	0.0	---	0.00	0.0	---	76.4	81.1	81.1	79.9	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	8:30 p	76.5	76.5	76.4	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.1	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
12/15/20	9:00 p	76.5	76.7	76.5	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.1	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
12/15/20	9:30 p	76.6	76.6	76.5	100	76.6	0.0	---	0.00	0.0	---	76.6	81.4	81.4	80.2	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.242	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	10:00 p	76.5	76.6	76.4	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.1	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0967	0.000	698	1	100.0	30
12/15/20	10:30 p	76.5	76.5	76.4	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.1	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	11:00 p	76.4	76.5	76.4	100	76.4	0.0	---	0.00	0.0	---	76.4	81.1	81.1	79.9	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	-52.3	0	---	-52.4	-52.4	 .0967	0.000	699	1	100.0	30
12/15/20	11:30 p	76.3	76.5	76.2	100	76.3	0.0	---	0.00	0.0	---	76.3	80.9	80.9	79.7	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.235	-52.3	0	---	-52.4	-52.4	 .0967	0.000	701	1	100.0	30
12/16/20	12:00 a	75.6	76.4	75.5	100	75.6	0.0	---	0.00	0.0	---	75.6	79.7	79.7	78.5	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.221	-52.3	0	---	-52.4	-52.4	 .0967	0.000	701	1	100.0	30
12/16/20	12:30 a	74.9	75.6	74.9	100	74.9	0.0	---	0.00	0.0	---	74.9	78.7	78.7	77.4	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.206	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
12/16/20	1:00 a	75.2	75.3	74.9	100	75.2	0.0	---	0.00	0.0	---	75.2	79.1	79.1	77.9	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.212	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
12/16/20	1:30 a	75.1	75.3	75.1	100	75.1	0.0	---	0.00	0.0	---	75.1	78.9	78.9	77.7	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.210	-52.3	0	---	-52.4	-52.4	 .0967	0.000	702	1	100.0	30
