		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
02/01/20	12:30 a	75.4	75.8	75.3	88	71.6	0.0	---	0.00	0.0	---	75.4	78.7	78.7	76.9	29.765	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.217	73.4	89	70.0	75.8	19.95	 .0722	0.000	700	1	100.0	30
02/01/20	1:00 a	75.0	75.3	75.0	89	71.5	0.0	---	0.00	0.0	---	75.0	78.3	78.3	76.5	29.760	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.208	73.4	89	70.0	75.8	19.95	 .0722	0.000	702	1	100.0	30
02/01/20	1:30 a	74.8	75.1	74.7	89	71.3	0.0	---	0.00	0.0	---	74.8	77.9	77.9	76.1	29.756	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.204	73.4	89	70.0	75.8	19.95	 .0722	0.000	699	1	100.0	30
02/01/20	2:00 a	74.5	74.8	74.4	89	71.0	0.0	---	0.00	0.0	---	74.5	77.3	77.3	75.5	29.748	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.198	73.4	89	70.0	75.8	19.95	 .0722	0.000	703	1	100.0	30
02/01/20	2:30 a	74.4	74.6	74.3	89	70.9	0.0	---	0.00	0.0	---	74.4	77.1	77.1	75.2	29.747	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.196	73.4	89	70.0	75.8	19.95	 .0722	0.000	698	1	100.0	30
02/01/20	3:00 a	74.2	74.4	74.1	89	70.7	0.0	---	0.00	0.0	---	74.2	76.8	76.8	74.9	29.751	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.192	73.4	89	70.0	75.8	19.95	 .0722	0.000	703	1	100.0	30
02/01/20	3:30 a	74.0	74.2	73.9	89	70.6	0.0	---	0.00	0.0	---	74.0	76.4	76.4	74.5	29.751	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.188	73.4	89	70.0	75.8	19.95	 .0722	0.000	700	1	100.0	30
02/01/20	4:00 a	73.9	74.0	73.9	89	70.5	0.0	---	0.00	0.0	---	73.9	76.3	76.3	74.4	29.752	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.185	73.4	89	70.0	75.8	19.95	 .0722	0.000	700	1	100.0	30
02/01/20	4:30 a	73.6	74.0	73.6	89	70.2	0.0	---	0.00	0.0	---	73.6	76.0	76.0	74.1	29.755	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.179	73.4	89	70.0	75.8	19.95	 .0722	0.000	700	1	100.0	30
02/01/20	5:00 a	73.7	73.8	73.5	89	70.3	0.0	---	0.00	0.0	---	73.7	76.1	76.1	74.2	29.766	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.181	73.4	89	70.0	75.8	19.95	 .0722	0.000	700	1	100.0	30
02/01/20	5:30 a	73.6	73.7	73.4	89	70.2	0.0	---	0.00	0.0	---	73.6	76.0	76.0	74.1	29.779	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.179	73.4	89	70.0	75.8	19.95	 .0723	0.000	698	1	100.0	30
02/01/20	6:00 a	73.5	73.6	73.4	89	70.1	0.0	---	0.00	0.0	---	73.5	75.9	75.9	74.0	29.787	0.00	0.00	0	0.00	5	0.0	0.00	0.0	0.000	0.177	73.4	89	70.0	75.8	19.95	 .0723	0.000	701	1	100.0	30
02/01/20	6:30 a	74.0	74.1	73.5	89	70.6	0.0	---	0.00	0.0	---	74.0	76.4	76.4	76.1	29.800	0.00	0.00	13	0.56	21	0.0	0.00	0.0	0.000	0.188	73.4	89	70.0	75.8	19.95	 .0723	0.000	700	1	100.0	30
02/01/20	7:00 a	74.9	74.9	74.1	89	71.4	0.0	---	0.00	0.0	---	74.9	78.1	78.1	78.3	29.816	0.00	0.00	26	1.12	32	0.0	0.00	0.0	0.000	0.206	73.4	89	70.0	75.8	19.95	 .0724	0.001	701	1	100.0	30
02/01/20	7:30 a	75.8	75.9	74.9	89	72.3	0.0	---	0.00	0.0	---	75.8	79.2	79.2	79.7	29.821	0.00	0.00	37	1.59	69	0.0	0.00	0.5	0.000	0.225	73.4	89	70.0	75.8	19.95	 .0724	0.000	700	1	100.0	30
02/01/20	8:00 a	76.8	76.8	75.9	89	73.3	0.0	---	0.00	0.0	---	76.8	80.6	80.6	81.1	29.833	0.00	0.00	43	1.85	67	0.1	0.02	1.2	0.000	0.246	73.5	89	70.1	75.9	19.95	 .0724	0.001	702	1	100.0	30
02/01/20	8:30 a	78.3	78.3	76.8	89	74.8	0.0	---	0.00	0.0	---	78.3	83.2	83.2	84.8	29.840	0.00	0.00	81	3.48	229	0.7	0.15	1.8	0.000	0.277	73.5	89	70.1	75.9	19.95	 .0724	0.000	701	1	100.0	30
02/01/20	9:00 a	80.5	80.5	78.2	89	77.0	0.0	SE	0.00	4.0	S	80.5	87.7	87.7	89.1	29.844	0.00	0.00	77	3.31	366	1.5	0.32	2.7	0.000	0.323	73.5	89	70.1	75.9	19.95	 .0724	0.002	698	1	100.0	30
02/01/20	9:30 a	84.1	84.1	80.6	81	77.6	1.0	SSW	0.50	5.0	SSW	84.1	95.0	95.0	105.9	29.841	0.00	0.00	525	22.58	744	4.2	0.90	5.5	0.000	0.398	73.5	89	70.1	75.9	19.95	 .0724	0.000	702	1	100.0	30
02/01/20	10:00 a	85.5	85.6	84.1	81	79.0	1.0	S	0.50	5.0	S	85.5	98.0	98.0	109.8	29.837	0.00	0.00	813	34.96	900	6.4	1.37	7.2	0.000	0.427	73.4	89	70.0	75.8	19.95	 .0724	0.017	702	1	100.0	30
02/01/20	10:30 a	86.0	86.4	85.4	76	77.5	2.0	SSW	1.00	7.0	SSW	86.0	97.4	97.4	109.4	29.830	0.00	0.00	876	37.67	1032	7.2	1.54	8.6	0.000	0.438	73.5	89	70.1	75.9	19.95	 .0724	0.000	700	1	100.0	30
02/01/20	11:00 a	87.2	87.6	86.1	74	77.9	2.0	SSW	1.00	5.0	SW	87.2	99.5	99.5	113.1	29.815	0.00	0.00	1013	43.56	1079	9.1	1.95	9.4	0.000	0.462	73.5	89	70.1	75.9	19.95	 .0723	0.024	700	1	100.0	30
02/01/20	11:30 a	86.9	88.0	86.9	71	76.4	2.0	S	1.00	7.0	S	86.9	97.7	97.7	110.3	29.801	0.00	0.00	957	41.16	997	9.7	2.08	10.0	0.000	0.456	73.5	89	70.1	75.9	19.95	 .0723	0.000	700	1	100.0	30
02/01/20	12:00 p	87.5	88.5	86.9	70	76.5	2.0	SSW	1.00	10.0	SSE	87.5	98.3	98.3	111.1	29.783	0.00	0.00	954	41.03	962	10.0	2.14	10.0	0.000	0.469	73.5	89	70.1	75.9	19.95	 .0723	0.026	700	1	100.0	30
02/01/20	12:30 p	87.3	87.7	86.7	71	76.7	3.0	SE	1.50	14.0	WSW	87.3	98.4	98.4	111.7	29.780	0.00	0.00	946	40.68	962	9.8	2.10	10.0	0.000	0.465	73.5	89	70.1	75.9	19.95	 .0722	0.000	701	1	100.0	30
02/01/20	1:00 p	86.9	87.8	86.7	70	75.9	3.0	SE	1.50	9.0	ESE	86.9	97.3	97.3	111.1	29.774	0.00	0.00	919	39.52	935	9.2	1.97	9.6	0.000	0.456	73.5	89	70.1	75.9	19.95	 .0722	0.025	703	1	100.0	30
02/01/20	1:30 p	86.8	88.0	86.8	72	76.7	3.0	ESE	1.50	11.0	S	86.8	97.9	97.9	112.5	29.758	0.00	0.00	875	37.63	898	8.3	1.78	8.8	0.000	0.454	73.5	90	70.4	75.9	20.45	 .0722	0.000	698	1	100.0	30
02/01/20	2:00 p	87.4	88.5	86.8	72	77.3	2.0	SE	1.00	11.0	S	87.4	99.0	99.0	114.5	29.742	0.00	0.00	813	34.96	846	7.1	1.52	7.7	0.000	0.467	73.5	90	70.4	75.9	20.45	 .0721	0.023	699	1	100.0	30
02/01/20	2:30 p	86.7	87.6	86.6	73	77.0	3.0	E	1.50	10.0	S	86.7	98.0	98.0	114.2	29.731	0.00	0.00	734	31.57	773	5.6	1.20	6.3	0.000	0.452	73.5	90	70.4	75.9	20.45	 .0721	0.000	701	1	100.0	30
02/01/20	3:00 p	86.3	87.3	86.3	74	77.0	3.0	SE	1.50	9.0	SE	86.3	97.4	97.4	114.4	29.729	0.00	0.00	648	27.87	693	4.2	0.90	4.9	0.000	0.444	73.6	90	70.5	76.0	20.45	 .0721	0.019	700	1	100.0	30
02/01/20	3:30 p	86.0	86.7	85.8	76	77.5	2.0	SE	1.00	8.0	SE	86.0	97.4	97.4	114.8	29.729	0.00	0.00	546	23.48	589	2.8	0.60	3.4	0.000	0.438	73.5	90	70.4	75.9	20.45	 .0721	0.000	701	1	100.0	30
02/01/20	4:00 p	85.5	86.4	85.5	75	76.7	2.0	S	1.00	8.0	SE	85.5	95.8	95.8	112.4	29.724	0.00	0.00	441	18.97	510	1.7	0.36	2.2	0.000	0.427	73.6	90	70.5	76.0	20.45	 .0721	0.014	701	1	100.0	30
02/01/20	4:30 p	84.3	85.5	84.3	77	76.3	1.0	SSE	0.50	9.0	SE	84.3	94.0	94.0	98.0	29.730	0.00	0.00	257	11.05	346	0.8	0.17	1.2	0.000	0.402	73.5	90	70.4	75.9	20.45	 .0721	0.000	701	1	100.0	30
02/01/20	5:00 p	82.5	84.3	82.5	80	75.7	1.0	SE	0.50	7.0	SE	82.5	90.3	90.3	89.9	29.735	0.00	0.00	57	2.45	67	0.1	0.02	0.5	0.000	0.365	73.5	90	70.4	75.9	20.45	 .0721	0.005	700	1	100.0	30
02/01/20	5:30 p	82.0	82.5	81.8	81	75.6	1.0	SE	0.50	3.0	E	82.0	89.2	89.2	88.6	29.745	0.00	0.00	46	1.98	65	0.0	0.00	0.0	0.000	0.354	73.6	90	70.5	76.0	20.45	 .0721	0.000	702	1	100.0	30
02/01/20	6:00 p	81.1	82.1	81.0	84	75.8	1.0	NE	0.50	4.0	E	81.1	87.8	87.8	86.3	29.759	0.00	0.00	4	0.17	18	0.0	0.00	0.0	0.000	0.335	73.6	90	70.5	76.0	20.45	 .0722	0.001	699	1	100.0	30
02/01/20	6:30 p	80.2	81.2	80.2	85	75.3	0.0	E	0.00	1.0	E	80.2	86.0	86.0	84.4	29.765	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.317	73.5	90	70.4	75.9	20.45	 .0722	0.000	701	1	100.0	30
02/01/20	7:00 p	79.4	80.2	79.4	86	74.8	0.0	E	0.00	1.0	E	79.4	84.7	84.7	83.1	29.775	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.300	73.6	90	70.5	76.0	20.45	 .0722	0.001	702	1	100.0	30
02/01/20	7:30 p	78.9	79.4	78.9	86	74.4	0.0	---	0.00	0.0	---	78.9	83.7	83.7	82.1	29.785	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.290	73.6	90	70.5	76.0	20.45	 .0722	0.000	702	1	100.0	30
02/01/20	8:00 p	78.9	79.0	78.8	87	74.7	0.0	---	0.00	0.0	---	78.9	83.9	83.9	82.3	29.797	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.290	73.6	90	70.5	76.0	20.45	 .0722	0.001	701	1	100.0	30
02/01/20	8:30 p	78.7	79.0	78.6	87	74.5	0.0	---	0.00	0.0	---	78.7	83.6	83.6	82.0	29.810	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.285	73.5	90	70.4	75.9	20.45	 .0723	0.000	703	1	100.0	30
02/01/20	9:00 p	78.2	78.8	78.1	87	74.0	0.0	---	0.00	0.0	---	78.2	82.7	82.7	81.1	29.816	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.275	73.5	90	70.4	75.9	20.45	 .0723	0.001	699	1	100.0	30
02/01/20	9:30 p	77.5	78.3	77.5	87	73.3	0.0	---	0.00	0.0	---	77.5	81.6	81.6	79.9	29.818	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.260	73.5	90	70.4	75.9	20.45	 .0723	0.000	702	1	100.0	30
02/01/20	10:00 p	77.4	77.5	77.3	87	73.2	0.0	---	0.00	0.0	---	77.4	81.4	81.4	79.7	29.813	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.258	73.5	90	70.4	75.9	20.45	 .0723	0.001	698	1	100.0	30
02/01/20	10:30 p	76.8	77.5	76.8	87	72.6	0.0	---	0.00	0.0	---	76.8	80.5	80.5	78.7	29.811	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.246	73.6	90	70.5	76.0	20.45	 .0723	0.000	702	1	100.0	30
02/01/20	11:00 p	76.2	76.9	76.2	88	72.4	0.0	---	0.00	0.0	---	76.2	79.7	79.7	77.9	29.803	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.233	73.6	90	70.5	76.0	20.45	 .0723	0.001	702	1	100.0	30
02/01/20	11:30 p	75.3	76.2	75.3	88	71.5	0.0	---	0.00	0.0	---	75.3	78.6	78.6	76.8	29.798	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.215	73.6	90	70.5	76.0	20.45	 .0722	0.000	700	1	100.0	30
