		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/04/20	4:00 a	76.1	76.4	76.1	89	72.6	0.0	---	0.00	0.0	---	76.1	79.6	79.6	77.8	29.813	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.231	78.9	94	77.0	85.4	21.35	 .0711	0.000	703	1	100.0	30
01/04/20	4:30 a	75.8	76.2	75.8	89	72.3	0.0	---	0.00	0.0	---	75.8	79.2	79.2	77.4	29.824	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	78.7	93	76.5	84.7	21.22	 .0712	0.000	700	1	100.0	30
01/04/20	5:00 a	76.0	76.0	75.8	89	72.5	0.0	---	0.00	0.0	---	76.0	79.4	79.4	77.6	29.833	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	78.7	94	76.8	84.9	21.35	 .0712	0.000	695	1	100.0	30
01/04/20	5:30 a	76.1	76.2	75.9	89	72.6	0.0	---	0.00	0.0	---	76.1	79.6	79.6	77.8	29.842	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.231	78.8	94	76.9	85.1	21.35	 .0712	0.000	699	1	100.0	30
01/04/20	6:00 a	76.3	76.3	76.0	89	72.8	0.0	---	0.00	0.0	---	76.3	79.9	79.9	78.1	29.858	0.00	0.00	1	0.04	7	0.0	0.00	0.0	0.000	0.235	78.8	94	76.9	85.1	21.35	 .0713	0.000	698	1	100.0	30
01/04/20	6:30 a	76.5	76.6	76.3	89	73.0	0.0	---	0.00	0.0	---	76.5	80.2	80.2	78.9	29.865	0.00	0.00	20	0.86	33	0.0	0.00	0.0	0.000	0.240	79.0	94	77.1	85.6	21.35	 .0712	0.000	699	1	100.0	30
01/04/20	7:00 a	76.8	76.8	76.5	89	73.3	0.0	---	0.00	0.0	---	76.8	80.6	80.6	80.8	29.877	0.00	0.00	24	1.03	33	0.0	0.00	0.0	0.000	0.246	79.1	95	77.5	86.0	21.65	 .0712	0.001	700	1	100.0	30
01/04/20	7:30 a	77.1	77.2	76.8	89	73.6	0.0	---	0.00	0.0	---	77.1	81.1	81.1	81.7	29.890	0.00	0.00	37	1.59	54	0.0	0.00	0.0	0.000	0.252	79.3	95	77.7	86.5	21.65	 .0712	0.000	701	1	100.0	30
01/04/20	8:00 a	78.1	78.2	77.1	89	74.6	0.0	---	0.00	0.0	---	78.1	82.8	82.8	85.6	29.900	0.00	0.00	101	4.34	134	1.1	0.24	1.4	0.000	0.273	79.6	95	78.0	87.2	21.65	 .0712	0.002	699	1	100.0	30
01/04/20	8:30 a	79.4	79.4	78.1	89	75.9	0.0	E	0.00	2.0	E	79.4	85.3	85.3	87.3	29.900	0.00	0.00	88	3.78	269	0.9	0.19	2.3	0.000	0.300	80.2	95	78.6	88.6	21.65	 .0710	0.000	699	1	100.0	30
01/04/20	9:00 a	81.9	81.9	79.2	85	76.9	1.0	E	0.50	4.0	S	81.9	90.1	90.1	91.5	29.902	0.00	0.00	76	3.27	241	2.0	0.43	2.6	0.000	0.352	81.0	93	78.8	90.1	21.27	 .0709	0.002	701	1	100.0	30
01/04/20	9:30 a	83.6	83.6	81.9	82	77.5	1.0	SSE	0.50	7.0	S	83.6	94.0	94.0	103.2	29.902	0.00	0.00	408	17.55	728	4.0	0.86	5.7	0.000	0.387	81.7	92	79.1	91.9	21.18	 .0708	0.000	702	1	100.0	30
