		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
07/09/20	3:30 p	80.0	80.7	80.0	100	80.0	0.0	SE	0.00	2.0	SE	80.0	89.6	89.6	94.0	19.389	0.00	0.00	152	6.54	243	1.1	0.24	1.4	0.000	0.313	-52.3	0	---	-52.4	-52.4	 .0631	0.000	386	1	56.4	30
07/09/20	4:00 p	79.6	80.7	79.5	100	79.6	0.0	SE	0.00	4.0	ESE	79.6	88.5	88.5	93.3	19.389	0.00	0.00	146	6.28	209	0.9	0.19	1.3	0.000	0.304	-52.3	0	---	-52.4	-52.4	 .0631	0.004	701	1	100.0	30
07/09/20	4:30 p	79.6	79.7	78.9	100	79.6	0.0	SSW	0.00	3.0	ESE	79.6	88.5	88.5	90.9	19.389	0.00	0.00	68	2.92	90	0.0	0.00	0.0	0.000	0.304	-52.3	0	---	-52.4	-52.4	 .0631	0.000	700	1	100.0	30
07/09/20	5:00 p	79.0	79.6	78.9	100	79.0	0.0	SSW	0.00	1.0	SSW	79.0	86.8	86.8	90.0	29.693	0.00	0.00	82	3.53	91	0.0	0.00	0.0	0.000	0.292	-52.3	0	---	-52.4	-52.4	 .0967	0.002	702	1	100.0	30
07/09/20	5:30 p	78.6	79.0	78.3	100	78.6	0.0	SSW	0.00	1.0	SSW	78.6	85.8	85.8	85.5	29.161	0.00	0.00	38	1.63	62	0.0	0.00	0.0	0.000	0.283	-52.3	0	---	-52.4	-52.4	 .0949	0.000	701	1	100.0	30
07/09/20	6:00 p	77.8	78.6	77.7	100	77.8	0.0	SSW	0.00	1.0	SSW	77.8	84.0	84.0	82.9	29.161	0.00	0.00	6	0.26	19	0.0	0.00	0.0	0.000	0.267	-52.3	0	---	-52.4	-52.4	 .0949	0.001	702	1	100.0	30
07/09/20	6:30 p	77.0	77.9	77.0	100	77.0	0.0	---	0.00	0.0	---	77.0	82.2	82.2	81.0	29.161	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.250	-52.3	0	---	-52.4	-52.4	 .0949	0.000	702	1	100.0	30
07/09/20	7:00 p	76.4	77.1	76.4	100	76.4	0.0	SW	0.00	1.0	SW	76.4	81.1	81.1	79.8	29.161	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	-52.3	0	---	-52.4	-52.4	 .0949	0.000	702	1	100.0	30
07/09/20	7:30 p	75.8	76.4	75.8	100	75.8	0.0	SW	0.00	1.0	SW	75.8	80.0	80.0	78.6	29.693	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	-52.3	0	---	-52.4	-52.4	 .0967	0.000	700	1	100.0	30
