		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
03/01/20	12:30 a	76.4	76.6	76.3	88	72.6	0.0	---	0.00	0.0	---	76.4	80.0	80.0	78.2	29.833	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.238	70.2	77	62.6	71.0	14.95	 .0732	0.000	699	1	100.0	30
03/01/20	1:00 a	76.0	76.3	76.0	88	72.2	0.0	---	0.00	0.0	---	76.0	79.4	79.4	77.6	29.815	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	70.3	87	66.2	72.1	18.86	 .0730	0.000	701	1	100.0	30
03/01/20	1:30 a	76.0	76.2	75.9	88	72.2	0.0	---	0.00	0.0	---	76.0	79.4	79.4	77.6	29.807	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	70.5	91	67.7	72.7	20.68	 .0729	0.000	699	1	100.0	30
03/01/20	2:00 a	75.8	76.0	75.7	88	72.0	0.0	---	0.00	0.0	---	75.8	79.2	79.2	77.4	29.803	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	70.5	91	67.7	72.7	20.68	 .0728	0.000	700	1	100.0	30
03/01/20	2:30 a	75.4	75.8	75.4	88	71.6	0.0	---	0.00	0.0	---	75.4	78.7	78.7	76.9	29.801	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.217	70.6	92	68.2	72.9	20.79	 .0728	0.000	702	1	100.0	30
03/01/20	3:00 a	75.2	75.7	75.2	88	71.4	0.0	---	0.00	0.0	---	75.2	78.5	78.5	76.7	29.799	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.212	70.4	90	67.3	72.5	20.45	 .0729	0.000	703	1	100.0	30
03/01/20	3:30 a	75.1	75.3	75.0	88	71.3	0.0	---	0.00	0.0	---	75.1	78.4	78.4	76.6	29.800	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.210	70.4	87	66.3	72.2	18.87	 .0729	0.000	702	1	100.0	30
03/01/20	4:00 a	74.8	75.3	74.8	88	71.0	0.0	---	0.00	0.0	---	74.8	77.9	77.9	76.1	29.804	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.204	70.4	83	65.0	71.8	17.25	 .0730	0.000	698	1	100.0	30
03/01/20	4:30 a	74.7	74.9	74.6	88	70.9	0.0	---	0.00	0.0	---	74.7	77.7	77.7	75.8	29.808	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.202	70.9	93	68.8	73.4	20.99	 .0727	0.000	702	1	100.0	30
03/01/20	5:00 a	74.7	74.8	74.6	88	70.9	0.0	---	0.00	0.0	---	74.7	77.7	77.7	75.8	29.817	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.202	70.8	92	68.4	73.2	20.80	 .0728	0.000	703	1	100.0	30
03/01/20	5:30 a	74.5	74.7	74.5	88	70.7	0.0	---	0.00	0.0	---	74.5	77.3	77.3	75.4	29.823	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.198	70.5	88	66.8	72.4	19.37	 .0730	0.000	701	1	100.0	30
03/01/20	6:00 a	74.6	74.6	74.4	88	70.8	0.0	---	0.00	0.0	---	74.6	77.5	77.5	75.6	29.838	0.00	0.00	2	0.09	9	0.0	0.00	0.0	0.000	0.200	70.6	77	63.0	71.5	14.95	 .0732	0.000	701	1	100.0	30
03/01/20	6:30 a	75.2	75.2	74.5	89	71.7	0.0	---	0.00	0.0	---	75.2	78.5	78.5	78.3	29.846	0.00	0.00	17	0.73	23	0.0	0.00	0.0	0.000	0.212	70.8	93	68.7	73.3	20.98	 .0729	0.000	700	1	100.0	30
03/01/20	7:00 a	76.1	76.1	75.2	89	72.6	0.0	---	0.00	0.0	---	76.1	79.6	79.6	79.8	29.858	0.00	0.00	28	1.20	32	0.0	0.00	0.0	0.000	0.231	70.5	86	66.1	72.2	18.28	 .0731	0.001	697	1	100.0	30
03/01/20	7:30 a	77.7	77.7	76.1	89	74.2	0.0	---	0.00	0.0	---	77.7	82.1	82.1	83.6	29.869	0.00	0.00	67	2.88	128	0.5	0.11	1.0	0.000	0.265	70.6	80	64.1	71.8	16.14	 .0732	0.000	696	1	100.0	30
03/01/20	8:00 a	79.7	79.7	77.7	89	76.2	0.0	---	0.00	0.0	---	79.7	85.9	85.9	88.9	29.877	0.00	0.00	122	5.25	148	1.3	0.28	1.6	0.000	0.306	70.6	84	65.5	72.2	17.57	 .0731	0.002	699	1	100.0	30
03/01/20	8:30 a	82.4	82.4	79.5	87	78.1	0.0	---	0.00	0.0	---	82.4	92.2	92.2	101.7	29.881	0.00	0.00	400	17.20	529	2.7	0.58	3.5	0.000	0.363	70.6	91	67.8	72.8	20.69	 .0730	0.000	688	1	100.0	30
03/01/20	9:00 a	83.8	84.9	82.0	81	77.3	0.0	---	0.00	0.0	---	83.8	94.3	94.3	104.3	29.885	0.00	0.00	462	19.87	684	3.9	0.84	5.1	0.000	0.392	70.0	77	62.5	70.8	14.95	 .0734	0.010	699	1	100.0	30
03/01/20	9:30 a	86.5	86.5	83.8	74	77.2	1.0	SSE	0.50	6.0	S	86.5	97.9	97.9	110.3	29.889	0.00	0.00	754	32.43	816	6.1	1.31	7.0	0.000	0.448	71.0	87	66.9	73.0	18.89	 .0730	0.000	701	1	100.0	30
03/01/20	10:00 a	88.1	88.8	86.6	72	77.9	2.0	SSW	1.00	9.0	SE	88.1	100.3	100.3	111.8	29.882	0.00	0.00	877	37.72	937	7.9	1.69	8.7	0.000	0.481	72.6	88	68.8	74.8	19.45	 .0727	0.021	700	1	100.0	30
03/01/20	10:30 a	87.4	88.4	87.2	73	77.7	2.0	SE	1.00	8.0	SSE	87.4	99.4	99.4	110.7	29.877	0.00	0.00	910	39.14	1116	8.7	1.86	10.4	0.000	0.467	72.5	85	67.7	74.4	18.05	 .0728	0.000	697	1	100.0	30
03/01/20	11:00 a	88.1	89.2	87.5	70	77.1	2.0	SE	1.00	9.0	S	88.1	99.3	99.3	112.2	29.866	0.00	0.00	1057	45.46	1311	10.8	2.31	12.2	0.000	0.481	71.7	86	67.3	73.6	18.35	 .0729	0.025	700	1	100.0	30
03/01/20	11:30 a	88.4	89.1	87.8	73	78.6	2.0	SE	1.00	9.0	S	88.4	102.0	102.0	114.0	29.856	0.00	0.00	987	42.45	1390	10.5	2.25	12.9	0.000	0.488	72.0	89	68.6	74.1	19.95	 .0727	0.000	697	1	100.0	30
03/01/20	12:00 p	86.7	89.3	86.7	74	77.4	2.0	SE	1.00	8.0	SSE	86.7	98.4	98.4	111.0	29.848	0.00	0.00	743	31.95	1292	8.9	1.91	12.9	0.000	0.452	71.9	91	69.1	74.2	20.76	 .0727	0.023	698	1	100.0	30
03/01/20	12:30 p	89.0	89.0	86.5	72	78.8	3.0	ESE	1.50	9.0	SSE	89.0	103.6	103.6	115.9	29.838	0.00	0.00	933	40.12	1248	10.8	2.31	12.4	0.000	0.500	71.8	92	69.3	74.2	20.86	 .0727	0.000	700	1	100.0	30
03/01/20	1:00 p	88.9	89.9	88.0	71	78.3	3.0	SE	1.50	10.0	S	88.9	102.6	102.6	117.9	29.829	0.00	0.00	1056	45.41	1192	10.5	2.25	12.1	0.000	0.498	71.8	89	68.4	73.9	19.95	 .0727	0.025	702	1	100.0	30
03/01/20	1:30 p	88.8	89.3	87.5	71	78.2	2.0	SE	1.00	9.0	ESE	88.8	102.2	102.2	118.5	29.812	0.00	0.00	1012	43.52	1250	9.1	1.95	11.1	0.000	0.496	71.7	90	68.6	73.9	20.45	 .0727	0.000	697	1	100.0	30
03/01/20	2:00 p	88.0	89.2	87.2	71	77.4	3.0	SE	1.50	10.0	SSW	88.0	99.5	99.5	113.3	29.799	0.00	0.00	777	33.42	1143	7.2	1.54	9.4	0.000	0.479	71.5	75	63.2	72.4	14.42	 .0730	0.023	700	1	100.0	30
03/01/20	2:30 p	88.5	89.4	87.4	69	77.0	2.0	S	1.00	10.0	SSE	88.5	100.2	100.2	118.5	29.783	0.00	0.00	859	36.94	984	6.1	1.31	7.7	0.000	0.490	71.5	88	67.8	73.5	19.41	 .0727	0.000	700	1	100.0	30
03/01/20	3:00 p	88.2	88.4	87.2	72	78.0	3.0	SE	1.50	11.0	S	88.2	100.7	100.7	120.2	29.775	0.00	0.00	761	32.73	828	4.7	1.01	5.8	0.000	0.483	71.5	89	68.1	73.6	19.95	 .0726	0.021	701	1	100.0	30
03/01/20	3:30 p	88.0	88.2	87.2	72	77.8	2.0	SE	1.00	9.0	SE	88.0	100.0	100.0	119.1	29.773	0.00	0.00	613	26.36	735	3.2	0.69	4.1	0.000	0.479	71.8	88	68.1	73.8	19.42	 .0726	0.000	698	1	100.0	30
03/01/20	4:00 p	87.0	88.0	86.8	72	76.9	2.0	SE	1.00	7.0	SE	87.0	98.3	98.3	116.5	29.776	0.00	0.00	487	20.94	552	2.0	0.43	2.6	0.000	0.458	71.7	88	68.0	73.7	19.42	 .0726	0.015	690	1	100.0	30
03/01/20	4:30 p	85.9	87.1	85.9	73	76.2	2.0	SSE	1.00	9.0	SE	85.9	96.1	96.1	99.8	29.776	0.00	0.00	242	10.41	406	1.0	0.21	1.4	0.000	0.435	71.6	87	67.5	73.6	18.91	 .0726	0.000	688	1	100.0	30
03/01/20	5:00 p	84.8	85.9	84.7	76	76.4	1.0	SE	0.50	5.0	SSE	84.8	94.6	94.6	94.7	29.782	0.00	0.00	73	3.14	127	0.1	0.02	0.6	0.000	0.413	71.5	76	63.5	72.5	14.72	 .0729	0.005	694	1	100.0	30
03/01/20	5:30 p	82.5	84.7	82.5	80	75.7	1.0	E	0.50	5.0	S	82.5	90.3	90.3	89.4	29.787	0.00	0.00	32	1.38	60	0.0	0.00	0.0	0.000	0.365	71.5	77	63.9	72.6	14.95	 .0729	0.000	696	1	100.0	30
03/01/20	6:00 p	81.6	82.5	81.6	82	75.6	0.0	E	0.00	2.0	E	81.6	88.5	88.5	87.0	29.796	0.00	0.00	4	0.17	12	0.0	0.00	0.0	0.000	0.346	71.8	91	69.0	74.1	20.76	 .0726	0.001	702	1	100.0	30
