		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/01/20	12:30 a	77.3	77.4	77.2	100	77.3	0.0	---	0.00	0.0	---	77.3	82.9	82.9	81.7	29.824	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.256	79.0	96	77.8	86.0	21.75	 .0711	0.000	700	1	100.0	30
05/01/20	1:00 a	77.2	77.4	77.2	100	77.2	0.0	---	0.00	0.0	---	77.2	82.6	82.6	81.4	29.815	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.254	79.0	96	77.8	86.0	21.75	 .0711	0.000	702	1	100.0	30
05/01/20	1:30 a	77.0	77.2	77.0	100	77.0	0.0	---	0.00	0.0	---	77.0	82.2	82.2	81.0	29.805	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.250	78.7	96	77.5	85.3	21.75	 .0711	0.000	702	1	100.0	30
05/01/20	2:00 a	76.9	77.1	76.9	100	76.9	0.0	---	0.00	0.0	---	76.9	82.0	82.0	80.7	29.804	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.248	78.6	96	77.4	85.0	21.75	 .0711	0.000	701	1	100.0	30
05/01/20	2:30 a	76.9	77.0	76.9	100	76.9	0.0	---	0.00	0.0	---	76.9	82.0	82.0	80.7	29.799	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.248	78.6	96	77.4	85.0	21.75	 .0711	0.000	701	1	100.0	30
05/01/20	3:00 a	76.8	77.0	76.7	100	76.8	0.0	---	0.00	0.0	---	76.8	81.8	81.8	80.5	29.796	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.246	78.4	96	77.2	84.6	21.75	 .0711	0.000	697	1	100.0	30
05/01/20	3:30 a	76.7	76.9	76.6	100	76.7	0.0	---	0.00	0.0	---	76.7	81.6	81.6	80.3	29.804	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.244	78.3	97	77.4	84.5	21.75	 .0711	0.000	698	1	100.0	30
05/01/20	4:00 a	76.6	76.7	76.5	100	76.6	0.0	---	0.00	0.0	---	76.6	81.4	81.4	80.1	29.812	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.242	78.3	97	77.4	84.5	21.75	 .0712	0.000	700	1	100.0	30
05/01/20	4:30 a	76.5	76.6	76.5	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.0	29.819	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	78.3	97	77.4	84.5	21.75	 .0712	0.000	699	1	100.0	30
05/01/20	5:00 a	76.5	76.6	76.4	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.0	29.825	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	78.2	97	77.3	84.3	21.75	 .0712	0.000	699	1	100.0	30
05/01/20	5:30 a	76.5	76.6	76.4	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	80.0	29.837	0.00	0.00	0	0.00	5	0.0	0.00	0.0	0.000	0.240	78.1	97	77.2	84.0	21.75	 .0713	0.000	698	1	100.0	30
05/01/20	6:00 a	76.7	76.8	76.4	100	76.7	0.0	---	0.00	0.0	---	76.7	81.6	81.6	80.5	29.848	0.00	0.00	10	0.43	18	0.0	0.00	0.0	0.000	0.244	78.2	97	77.3	84.3	21.75	 .0713	0.000	700	1	100.0	30
05/01/20	6:30 a	77.1	77.1	76.7	100	77.1	0.0	---	0.00	0.0	---	77.1	82.4	82.4	82.5	29.855	0.01	0.00	18	0.77	26	0.0	0.00	0.0	0.000	0.252	78.4	97	77.5	84.8	21.75	 .0713	0.000	700	1	100.0	30
05/01/20	7:00 a	77.5	77.6	77.0	100	77.5	0.0	---	0.00	0.0	---	77.5	83.3	83.3	83.9	29.859	0.00	0.00	34	1.46	49	0.0	0.00	0.0	0.000	0.260	78.8	97	77.9	85.7	21.75	 .0712	0.001	699	1	100.0	30
05/01/20	7:30 a	78.5	78.5	77.5	100	78.5	0.0	---	0.00	0.0	---	78.5	85.6	85.6	87.8	29.870	0.00	0.00	82	3.53	120	0.4	0.09	0.8	0.000	0.281	79.5	97	78.6	87.4	21.75	 .0711	0.000	701	1	100.0	30
05/01/20	8:00 a	80.5	80.5	78.4	100	80.5	0.0	---	0.00	0.0	---	80.5	91.1	91.1	97.4	29.888	0.00	0.00	231	9.93	306	1.5	0.32	1.9	0.000	0.323	81.0	97	80.1	91.4	21.75	 .0708	0.004	699	1	100.0	30
05/01/20	8:30 a	81.3	81.6	80.3	100	81.3	0.0	---	0.00	0.0	---	81.3	93.5	93.5	100.8	29.902	0.00	0.00	300	12.90	341	2.4	0.51	2.6	0.000	0.340	82.3	95	80.7	94.9	21.65	 .0706	0.000	701	1	100.0	30
05/01/20	9:00 a	82.2	82.2	80.8	100	82.2	0.0	---	0.00	0.0	---	82.2	96.4	96.4	102.9	29.905	0.00	0.00	281	12.08	290	2.7	0.58	3.1	0.000	0.358	82.9	94	81.0	96.5	21.41	 .0705	0.007	699	1	100.0	30
