		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
10/01/20	12:30 a	76.0	76.0	75.8	100	76.0	0.0	---	0.00	0.0	---	76.0	80.3	80.3	79.2	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	-52.3	0	---	-52.4	-52.4	 .0971	0.000	699	1	100.0	30
10/01/20	1:00 a	75.7	76.0	75.7	100	75.7	0.0	---	0.00	0.0	---	75.7	79.8	79.8	78.6	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.223	-52.3	0	---	-52.4	-52.4	 .0971	0.000	698	1	100.0	30
10/01/20	1:30 a	75.6	75.7	75.5	100	75.6	0.0	---	0.00	0.0	---	75.6	79.7	79.7	78.5	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.221	-52.3	0	---	-52.4	-52.4	 .0971	0.000	702	1	100.0	30
10/01/20	2:00 a	75.5	75.7	75.4	100	75.5	0.0	NNW	0.00	1.0	NNW	75.5	79.6	79.6	78.4	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.219	-52.3	0	---	-52.4	-52.4	 .0971	0.000	702	1	100.0	30
10/01/20	2:30 a	75.7	75.8	75.3	100	75.7	0.0	NNW	0.00	1.0	NNW	75.7	79.8	79.8	78.6	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.223	-52.3	0	---	-52.4	-52.4	 .0971	0.000	697	1	100.0	30
10/01/20	3:00 a	75.7	75.7	75.5	100	75.7	0.0	---	0.00	0.0	---	75.7	79.8	79.8	78.6	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.223	-52.3	0	---	-52.4	-52.4	 .0971	0.000	700	1	100.0	30
10/01/20	3:30 a	76.0	76.0	75.7	100	76.0	0.0	NNW	0.00	1.0	NNW	76.0	80.3	80.3	79.2	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.229	-52.3	0	---	-52.4	-52.4	 .0971	0.000	699	1	100.0	30
10/01/20	4:00 a	75.7	76.1	75.7	100	75.7	0.0	NNW	0.00	1.0	NNW	75.7	79.8	79.8	78.6	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.223	-52.3	0	---	-52.4	-52.4	 .0971	0.000	700	1	100.0	30
10/01/20	4:30 a	75.7	75.8	75.5	100	75.7	0.0	---	0.00	0.0	---	75.7	79.8	79.8	78.6	29.831	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.223	-52.3	0	---	-52.4	-52.4	 .0971	0.000	697	1	100.0	30
