		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
09/01/20	12:30 a	76.5	76.7	76.3	100	76.5	0.0	---	0.00	0.0	---	76.5	81.3	81.3	79.8	29.866	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.240	-52.3	0	---	-52.4	-52.4	 .0972	0.000	700	1	100.0	30
09/01/20	1:00 a	76.6	76.6	76.4	100	76.6	1.0	SW	0.50	6.0	SSE	76.6	81.4	81.4	79.9	29.860	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.242	-52.3	0	---	-52.4	-52.4	 .0972	0.000	701	1	100.0	30
09/01/20	1:30 a	76.2	76.7	76.2	100	76.2	1.0	NNE	0.50	4.0	ESE	76.2	80.7	80.7	79.2	29.843	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.233	-52.3	0	---	-52.4	-52.4	 .0972	0.000	699	1	100.0	30
09/01/20	2:00 a	75.8	76.2	75.8	100	75.8	1.0	ESE	0.50	3.0	ENE	75.8	80.0	80.0	78.4	29.843	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.225	-52.3	0	---	-52.4	-52.4	 .0972	0.000	697	1	100.0	30
09/01/20	2:30 a	75.1	75.8	75.0	100	75.1	0.0	NE	0.00	1.0	NE	75.1	78.9	78.9	77.3	29.816	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.210	-52.3	0	---	-52.4	-52.4	 .0971	0.000	698	1	100.0	30
09/01/20	3:00 a	74.6	75.2	74.6	100	74.6	0.0	NE	0.00	1.0	NE	74.6	78.3	78.3	76.7	29.814	0.01	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.200	-52.3	0	---	-52.4	-52.4	 .0971	0.000	698	1	100.0	30
09/01/20	3:30 a	74.7	74.9	74.6	100	74.7	0.0	---	0.00	0.0	---	74.7	78.4	78.4	76.8	29.814	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.202	-52.3	0	---	-52.4	-52.4	 .0971	0.000	700	1	100.0	30
09/01/20	4:00 a	74.2	74.7	74.2	100	74.2	0.0	NE	0.00	1.0	NE	74.2	77.8	77.8	76.2	29.814	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.192	-52.3	0	---	-52.4	-52.4	 .0971	0.000	700	1	100.0	30
09/01/20	4:30 a	74.3	74.4	74.0	100	74.3	0.0	ESE	0.00	3.0	ESE	74.3	78.0	78.0	76.4	29.814	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.194	-52.3	0	---	-52.4	-52.4	 .0971	0.000	694	1	100.0	30
09/01/20	5:00 a	73.8	74.4	73.7	100	73.8	0.0	---	0.00	0.0	---	73.8	77.4	77.4	75.7	29.814	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.183	-52.3	0	---	-52.4	-52.4	 .0971	0.000	699	1	100.0	30
09/01/20	5:30 a	73.5	73.8	73.5	100	73.5	0.0	ESE	0.00	2.0	ESE	73.5	77.1	77.1	75.4	29.814	0.00	0.00	0	0.00	5	0.0	0.00	0.0	0.000	0.177	-52.3	0	---	-52.4	-52.4	 .0971	0.000	700	1	100.0	30
