		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/22	12:00 a	75.9	76.0	75.7	95	74.4	0.0	NNE	0.00	1.0	NNE	75.9	79.6	79.6	78.1	29.814	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.227	81.1	85	76.2	88.6	17.88	 .0709	0.000	600	8	100.0	30
01/01/22	12:30 a	75.6	75.9	75.5	95	74.1	0.0	---	0.00	0.0	---	75.6	79.1	79.1	77.6	29.804	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.221	80.7	85	75.8	87.7	17.91	 .0710	0.000	598	8	100.0	30
01/01/22	1:00 a	75.5	75.7	75.5	95	74.0	0.0	---	0.00	0.0	---	75.5	79.0	79.0	77.4	29.799	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.219	80.5	86	75.9	87.4	18.32	 .0710	0.000	598	8	100.0	30
01/01/22	1:30 a	75.1	75.5	75.1	95	73.6	0.0	---	0.00	0.0	---	75.1	78.4	78.4	76.8	29.787	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.210	80.1	86	75.5	86.5	18.34	 .0710	0.000	599	8	100.0	30
01/01/22	2:00 a	74.8	75.2	74.8	95	73.3	0.0	---	0.00	0.0	---	74.8	78.0	78.0	76.4	29.780	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.204	79.7	86	75.1	85.6	18.36	 .0711	0.000	598	8	100.0	30
01/01/22	2:30 a	74.5	74.8	74.4	95	73.0	0.0	---	0.00	0.0	---	74.5	77.5	77.5	75.9	29.776	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.198	79.4	86	74.8	84.9	18.37	 .0711	0.000	597	8	100.0	30
01/01/22	3:00 a	74.4	74.6	74.4	95	72.9	0.0	---	0.00	0.0	---	74.4	77.3	77.3	75.7	29.774	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.196	78.9	87	74.7	84.0	18.82	 .0712	0.000	598	8	100.0	30
01/01/22	3:30 a	74.1	74.4	74.1	95	72.6	0.0	---	0.00	0.0	---	74.1	76.9	76.9	75.3	29.771	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.190	78.6	87	74.4	83.4	18.83	 .0712	0.000	597	8	100.0	30
01/01/22	4:00 a	74.0	74.3	73.9	95	72.5	0.0	---	0.00	0.0	---	74.0	76.7	76.7	75.1	29.776	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.188	78.4	87	74.2	83.0	18.85	 .0713	0.000	599	8	100.0	30
