		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
23-03-21	3:00 a	24.6	24.8	24.5	95	23.7	0.0	---	0.00	0.0	---	24.6	26.8	26.8	25.9	1008.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.130	26.6	88	24.4	29.9	19.36	1.1374	0.00	598	8	100.0	30
23-03-21	3:30 a	24.3	24.6	24.3	95	23.5	0.0	---	0.00	0.0	---	24.3	26.5	26.5	25.6	1008.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.125	26.4	89	24.4	29.7	19.95	1.1378	0.00	597	8	100.0	30
23-03-21	4:00 a	24.4	24.4	24.3	95	23.5	0.0	---	0.00	0.0	---	24.4	26.6	26.6	25.7	1008.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.126	26.3	89	24.3	29.5	19.95	1.1388	0.00	598	8	100.0	30
23-03-21	4:30 a	24.2	24.4	24.2	95	23.3	0.0	---	0.00	0.0	---	24.2	26.3	26.3	25.3	1008.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.122	26.1	89	24.2	29.2	19.95	1.1396	0.00	594	8	100.0	30
23-03-21	5:00 a	24.1	24.2	24.1	95	23.3	0.0	---	0.00	0.0	---	24.1	26.2	26.2	25.3	1008.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.120	25.9	89	24.0	28.8	19.95	1.1405	0.00	599	8	100.0	30
23-03-21	5:30 a	23.9	24.1	23.9	95	23.1	0.0	---	0.00	0.0	---	23.9	26.0	26.0	25.1	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.117	25.8	89	23.9	28.7	19.95	1.1415	0.00	598	8	100.0	30
23-03-21	6:00 a	23.9	24.0	23.8	95	23.1	0.0	---	0.00	0.0	---	23.9	26.0	26.0	25.1	1008.8	0.00	0.0	4	0.17	11	0.0	0.00	0.0	0.000	0.117	25.7	90	24.0	28.6	20.45	1.1419	0.00	600	8	100.0	30
23-03-21	6:30 a	24.3	24.3	23.9	95	23.5	0.0	E	0.00	0.4	E	24.3	26.5	26.5	26.4	1009.1	0.00	0.0	17	0.73	21	0.0	0.00	0.0	0.000	0.125	25.8	91	24.3	28.8	21.02	1.1412	0.00	599	8	100.0	30
23-03-21	7:00 a	24.8	24.8	24.3	95	23.9	0.0	E	0.00	0.4	E	24.8	27.2	27.2	27.3	1009.4	0.00	0.0	25	1.08	28	0.0	0.00	0.0	0.000	0.134	26.1	91	24.5	29.3	21.03	1.1402	0.03	596	8	100.0	30
23-03-21	7:30 a	25.4	25.4	24.8	95	24.6	0.0	E	0.00	0.4	E	25.4	28.3	28.3	28.5	1010.0	0.00	0.0	32	1.38	37	0.0	0.00	0.0	0.000	0.148	27.0	93	25.8	31.7	21.26	1.1344	0.00	600	8	100.0	30
23-03-21	8:00 a	26.3	26.3	25.4	95	25.4	0.0	E	0.00	0.9	E	26.3	30.3	30.3	31.0	1010.6	0.00	0.0	68	2.92	401	0.7	0.15	2.2	0.000	0.166	28.1	91	26.5	34.6	20.84	1.1292	0.05	598	8	100.0	30
23-03-21	8:30 a	28.2	28.2	26.2	90	26.4	0.4	E	0.80	1.3	SSW	28.2	34.6	34.6	38.7	1010.8	0.00	0.0	308	13.25	608	2.6	0.56	3.8	0.000	0.206	29.1	87	26.7	36.4	18.49	1.1256	0.00	599	8	100.0	30
23-03-21	9:00 a	29.9	29.9	28.2	84	26.9	0.4	SSE	0.80	2.2	S	29.9	38.0	38.0	44.9	1011.0	0.00	0.0	674	28.99	752	4.9	1.05	5.8	0.000	0.242	29.8	85	27.0	38.0	17.61	1.1220	0.33	599	8	100.0	30
23-03-21	9:30 a	30.5	30.8	29.6	84	27.5	0.4	E	0.80	2.2	SSW	30.5	40.2	40.2	46.7	1011.2	0.00	0.0	610	26.23	930	5.7	1.22	7.9	0.000	0.253	30.3	83	27.1	39.0	16.79	1.1206	0.00	599	8	100.0	30
23-03-21	10:00 a	31.3	31.6	30.3	76	26.6	0.4	SSE	0.80	2.2	S	31.3	39.8	39.8	46.8	1010.8	0.00	0.0	863	37.11	921	7.9	1.69	9.0	0.000	0.271	30.7	80	26.9	39.3	15.66	1.1189	0.48	600	8	100.0	30
23-03-21	10:30 a	31.5	31.8	31.0	78	27.2	0.9	ESE	1.61	2.7	S	31.5	41.3	41.3	48.0	1010.7	0.00	0.0	926	39.82	958	10.0	2.14	10.6	0.000	0.274	31.3	78	27.0	40.3	14.89	1.1165	0.00	598	8	100.0	30
23-03-21	11:00 a	32.2	32.4	31.6	77	27.7	0.9	SSE	1.61	2.7	S	32.2	43.9	43.9	50.2	1010.5	0.00	0.0	1000	43.01	1044	11.3	2.42	11.7	0.000	0.289	31.8	77	27.2	42.1	14.60	1.1138	0.66	600	8	100.0	30
