interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv,uid,check
2020-01-02,2020-01-03,287.6099853515625,287.6099853515625,287.6099853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-01-03,2020-01-04,288.6000061035156,288.6000061035156,288.6000061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-01-05,2020-01-06,286.3500061035156,286.3500061035156,286.3500061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-01-07,2020-01-08,284.25,284.25,284.25,0.0,65536,13570,36,30,623,181,TRUE
2020-01-09,2020-01-10,288.0,288.0,288.0,0.0,65536,13570,36,30,623,181,TRUE
2020-01-10,2020-01-11,287.1099853515625,287.1099853515625,287.1099853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-01-11,2020-01-12,287.8999938964844,287.8999938964844,287.8999938964844,0.0,65536,13570,36,30,623,181,TRUE
2020-01-12,2020-01-13,288.739990234375,288.739990234375,288.739990234375,0.0,65536,13570,36,30,623,181,TRUE
2020-01-14,2020-01-15,285.75,285.75,285.75,0.0,65536,13570,36,30,623,181,TRUE
2020-01-16,2020-01-17,285.7200012207031,285.7200012207031,285.7200012207031,0.0,65536,13570,36,30,623,181,TRUE
2020-01-18,2020-01-19,289.1099853515625,289.1099853515625,289.1099853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-01-19,2020-01-20,290.8699951171875,290.8699951171875,290.8699951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-01-21,2020-01-22,288.17999267578125,288.17999267578125,288.17999267578125,0.0,65536,13570,36,30,623,181,TRUE
2020-01-23,2020-01-24,287.69000244140625,287.69000244140625,287.69000244140625,0.0,65536,13570,36,30,623,181,TRUE
2020-01-25,2020-01-26,287.010009765625,287.010009765625,287.010009765625,0.0,65536,13570,36,30,623,181,TRUE
2020-01-26,2020-01-27,290.0400085449219,290.0400085449219,290.0400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-01-27,2020-01-28,287.5799865722656,287.5799865722656,287.5799865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-01-28,2020-01-29,287.2900085449219,287.2900085449219,287.2900085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-01-30,2020-01-31,287.5899963378906,287.5899963378906,287.5899963378906,0.0,65536,13570,36,30,623,181,TRUE
2020-02-01,2020-02-02,286.6300048828125,286.6300048828125,286.6300048828125,0.0,65536,13570,36,30,623,181,TRUE
2020-02-03,2020-02-04,288.5799865722656,288.5799865722656,288.5799865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-02-04,2020-02-05,288.6099853515625,288.6099853515625,288.6099853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-02-06,2020-02-07,286.5199890136719,286.5199890136719,286.5199890136719,0.0,65536,13570,36,30,623,181,TRUE
2020-02-08,2020-02-09,285.7200012207031,285.7200012207031,285.7200012207031,0.0,65536,13570,36,30,623,181,TRUE
2020-02-10,2020-02-11,283.1700134277344,283.1700134277344,283.1700134277344,0.0,65536,13570,36,30,623,181,TRUE
2020-02-11,2020-02-12,286.92999267578125,286.92999267578125,286.92999267578125,0.0,65536,13570,36,30,623,181,TRUE
2020-02-12,2020-02-13,288.05999755859375,288.05999755859375,288.05999755859375,0.0,65536,13570,36,30,623,181,TRUE
2020-02-13,2020-02-14,289.0,289.0,289.0,0.0,65536,13570,36,30,623,181,TRUE
2020-02-15,2020-02-16,285.2099914550781,285.2099914550781,285.2099914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-02-17,2020-02-18,285.75,285.75,285.75,0.0,65536,13570,36,30,623,181,TRUE
2020-02-19,2020-02-20,288.1199951171875,288.1199951171875,288.1199951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-02-20,2020-02-21,290.6300048828125,290.6300048828125,290.6300048828125,0.0,65536,13570,36,30,623,181,TRUE
2020-02-22,2020-02-23,289.0,289.0,289.0,0.0,65536,13570,36,30,623,181,TRUE
2020-02-24,2020-02-25,285.8599853515625,285.8599853515625,285.8599853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-02-26,2020-02-27,288.07000732421875,288.07000732421875,288.07000732421875,0.0,65536,13570,36,30,623,181,TRUE
2020-02-27,2020-02-28,291.69000244140625,291.69000244140625,291.69000244140625,0.0,65536,13570,36,30,623,181,TRUE
2020-02-28,2020-02-29,287.0799865722656,287.0799865722656,287.0799865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-02-29,2020-03-01,289.54998779296875,289.54998779296875,289.54998779296875,0.0,65536,13570,36,30,623,181,TRUE
2020-03-02,2020-03-03,287.1199951171875,287.1199951171875,287.1199951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-03-04,2020-03-05,288.95001220703125,288.95001220703125,288.95001220703125,0.0,65536,13570,36,30,623,181,TRUE
2020-03-06,2020-03-07,286.9800109863281,286.9800109863281,286.9800109863281,0.0,65536,13570,36,30,623,181,TRUE
2020-03-07,2020-03-08,289.0400085449219,289.0400085449219,289.0400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-03-09,2020-03-10,289.20001220703125,289.20001220703125,289.20001220703125,0.0,65536,13570,36,30,623,181,TRUE
2020-03-11,2020-03-12,286.3999938964844,286.3999938964844,286.3999938964844,0.0,65536,13570,36,30,623,181,TRUE
2020-03-13,2020-03-14,289.3299865722656,289.3299865722656,289.3299865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-03-14,2020-03-15,291.19000244140625,291.19000244140625,291.19000244140625,0.0,65536,13570,36,30,623,181,TRUE
2020-03-15,2020-03-16,288.7900085449219,288.7900085449219,288.7900085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-03-16,2020-03-17,290.739990234375,290.739990234375,290.739990234375,0.0,65536,13570,36,30,623,181,TRUE
2020-03-18,2020-03-19,288.0199890136719,288.0199890136719,288.0199890136719,0.0,65536,13570,36,30,623,181,TRUE
2020-03-20,2020-03-21,287.3599853515625,287.3599853515625,287.3599853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-03-22,2020-03-23,287.42999267578125,287.42999267578125,287.42999267578125,0.0,65536,13570,36,30,623,181,TRUE
2020-03-23,2020-03-24,289.67999267578125,289.67999267578125,289.67999267578125,0.0,65536,13570,36,30,623,181,TRUE
2020-03-25,2020-03-26,288.1000061035156,288.1000061035156,288.1000061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-03-27,2020-03-28,290.260009765625,290.260009765625,290.260009765625,0.0,65536,13570,36,30,623,181,TRUE
2020-03-29,2020-03-30,288.1700134277344,288.1700134277344,288.1700134277344,0.0,65536,13570,36,30,623,181,TRUE
2020-03-30,2020-03-31,292.5799865722656,292.5799865722656,292.5799865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-03-31,2020-04-01,290.4599914550781,290.4599914550781,290.4599914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-04-01,2020-04-02,290.1600036621094,290.1600036621094,290.1600036621094,0.0,65536,13570,36,30,623,181,TRUE
2020-04-03,2020-04-04,290.19000244140625,290.19000244140625,290.19000244140625,0.0,65536,13570,36,30,623,181,TRUE
2020-04-05,2020-04-06,290.4700012207031,290.4700012207031,290.4700012207031,0.0,65536,13570,36,30,623,181,TRUE
2020-04-07,2020-04-08,292.8599853515625,292.8599853515625,292.8599853515625,0.0,65536,13570,36,30,623,181,TRUE
2020-04-08,2020-04-09,293.3999938964844,293.3999938964844,293.3999938964844,0.0,65536,13570,36,30,623,181,TRUE
2020-04-10,2020-04-11,292.3900146484375,292.3900146484375,292.3900146484375,0.0,65536,13570,36,30,623,181,TRUE
2020-04-12,2020-04-13,291.5899963378906,291.5899963378906,291.5899963378906,0.0,65536,13570,36,30,623,181,TRUE
2020-04-14,2020-04-15,286.55999755859375,286.55999755859375,286.55999755859375,0.0,65536,13570,36,30,623,181,TRUE
2020-04-15,2020-04-16,293.6000061035156,293.6000061035156,293.6000061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-04-16,2020-04-17,291.17999267578125,291.17999267578125,291.17999267578125,0.0,65536,13570,36,30,623,181,TRUE
2020-04-17,2020-04-18,290.3699951171875,290.3699951171875,290.3699951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-04-19,2020-04-20,290.010009765625,290.010009765625,290.010009765625,0.0,65536,13570,36,30,623,181,TRUE
2020-04-21,2020-04-22,290.4800109863281,290.4800109863281,290.4800109863281,0.0,65536,13570,36,30,623,181,TRUE
2020-04-23,2020-04-24,289.4800109863281,289.4800109863281,289.4800109863281,0.0,65536,13570,36,30,623,181,TRUE
2020-04-24,2020-04-25,291.239990234375,291.239990234375,291.239990234375,0.0,65536,13570,36,30,623,181,TRUE
2020-04-26,2020-04-27,288.9700012207031,288.9700012207031,288.9700012207031,0.0,65536,13570,36,30,623,181,TRUE
2020-04-28,2020-04-29,289.5299987792969,289.5299987792969,289.5299987792969,0.0,65536,13570,36,30,623,181,TRUE
2020-04-30,2020-05-01,290.2699890136719,290.2699890136719,290.2699890136719,0.0,65536,13570,36,30,623,181,TRUE
2020-05-01,2020-05-02,290.5400085449219,290.5400085449219,290.5400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-05-02,2020-05-03,290.3800048828125,290.3800048828125,290.3800048828125,0.0,65536,13570,36,30,623,181,TRUE
2020-05-03,2020-05-04,289.5,289.5,289.5,0.0,65536,13570,36,30,623,181,TRUE
2020-05-05,2020-05-06,290.57000732421875,290.57000732421875,290.57000732421875,0.0,65536,13570,36,30,623,181,TRUE
2020-05-07,2020-05-08,290.07000732421875,290.07000732421875,290.07000732421875,0.0,65536,13570,36,30,623,181,TRUE
2020-05-09,2020-05-10,290.7300109863281,290.7300109863281,290.7300109863281,0.0,65536,13570,36,30,623,181,TRUE
2020-05-10,2020-05-11,293.3299865722656,293.3299865722656,293.3299865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-05-12,2020-05-13,287.5400085449219,287.5400085449219,287.5400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-05-14,2020-05-15,289.2699890136719,289.2699890136719,289.2699890136719,0.0,65536,13570,36,30,623,181,TRUE
2020-05-16,2020-05-17,289.510009765625,289.510009765625,289.510009765625,0.0,65536,13570,36,30,623,181,TRUE
2020-05-17,2020-05-18,292.0400085449219,292.0400085449219,292.0400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-05-18,2020-05-19,289.25,289.25,289.25,0.0,65536,13570,36,30,623,181,TRUE
2020-05-19,2020-05-20,288.1400146484375,288.1400146484375,288.1400146484375,0.0,65536,13570,36,30,623,181,TRUE
2020-05-21,2020-05-22,289.2099914550781,289.2099914550781,289.2099914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-05-23,2020-05-24,287.8399963378906,287.8399963378906,287.8399963378906,0.0,65536,13570,36,30,623,181,TRUE
2020-05-25,2020-05-26,290.2099914550781,290.2099914550781,290.2099914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-05-26,2020-05-27,290.0299987792969,290.0299987792969,290.0299987792969,0.0,65536,13570,36,30,623,181,TRUE
2020-05-28,2020-05-29,287.4599914550781,287.4599914550781,287.4599914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-05-30,2020-05-31,286.3800048828125,286.3800048828125,286.3800048828125,0.0,65536,13570,36,30,623,181,TRUE
2020-06-01,2020-06-02,286.6700134277344,286.6700134277344,286.6700134277344,0.0,65536,13570,36,30,623,181,TRUE
2020-06-02,2020-06-03,288.75,288.75,288.75,0.0,65536,13570,36,30,623,181,TRUE
2020-06-03,2020-06-04,287.30999755859375,287.30999755859375,287.30999755859375,0.0,65536,13570,36,30,623,181,TRUE
2020-06-04,2020-06-05,287.8699951171875,287.8699951171875,287.8699951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-06-06,2020-06-07,287.3399963378906,287.3399963378906,287.3399963378906,0.0,65536,13570,36,30,623,181,TRUE
2020-06-08,2020-06-09,288.1300048828125,288.1300048828125,288.1300048828125,0.0,65536,13570,36,30,623,181,TRUE
2020-06-10,2020-06-11,286.70001220703125,286.70001220703125,286.70001220703125,0.0,65536,13570,36,30,623,181,TRUE
2020-06-11,2020-06-12,286.8900146484375,286.8900146484375,286.8900146484375,0.0,65536,13570,36,30,623,181,TRUE
2020-06-13,2020-06-14,287.3999938964844,287.3999938964844,287.3999938964844,0.0,65536,13570,36,30,623,181,TRUE
2020-06-15,2020-06-16,288.6199951171875,288.6199951171875,288.6199951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-06-17,2020-06-18,286.32000732421875,286.32000732421875,286.32000732421875,0.0,65536,13570,36,30,623,181,TRUE
2020-06-18,2020-06-19,289.260009765625,289.260009765625,289.260009765625,0.0,65536,13570,36,30,623,181,TRUE
2020-06-19,2020-06-20,287.5799865722656,287.5799865722656,287.5799865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-06-20,2020-06-21,287.8699951171875,287.8699951171875,287.8699951171875,0.0,65536,13570,36,30,623,181,TRUE
2020-06-22,2020-06-23,285.80999755859375,285.80999755859375,285.80999755859375,0.0,65536,13570,36,30,623,181,TRUE
2020-06-24,2020-06-25,286.3299865722656,286.3299865722656,286.3299865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-06-26,2020-06-27,287.1000061035156,287.1000061035156,287.1000061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-06-27,2020-06-28,287.8500061035156,287.8500061035156,287.8500061035156,0.0,65536,13570,36,30,623,181,TRUE
2020-06-29,2020-06-30,287.07000732421875,287.07000732421875,287.07000732421875,0.0,65536,13570,36,30,623,181,TRUE
2020-07-01,2020-07-02,284.3900146484375,284.3900146484375,284.3900146484375,0.0,65536,13570,36,30,623,181,TRUE
2020-07-03,2020-07-04,285.7900085449219,285.7900085449219,285.7900085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-07-04,2020-07-05,286.8999938964844,286.8999938964844,286.8999938964844,0.0,65536,13570,36,30,623,181,TRUE
2020-07-05,2020-07-06,286.5400085449219,286.5400085449219,286.5400085449219,0.0,65536,13570,36,30,623,181,TRUE
2020-07-06,2020-07-07,287.6400146484375,287.6400146484375,287.6400146484375,0.0,65536,13570,36,30,623,181,TRUE
2020-07-08,2020-07-09,284.7099914550781,284.7099914550781,284.7099914550781,0.0,65536,13570,36,30,623,181,TRUE
2020-07-10,2020-07-11,286.3299865722656,286.3299865722656,286.3299865722656,0.0,65536,13570,36,30,623,181,TRUE
2020-07-12,2020-07-13,285.55999755859375,285.55999755859375,285.55999755859375,0.0,65536,13570,36,30,623,181,TRUE
