interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2020-01-01,2020-01-02,295.3500061035156,295.3500061035156,295.3500061035156,0.0,65536,286,66,10.0,1604.113037109375
2020-01-02,2020-01-03,293.1099853515625,293.1099853515625,293.1099853515625,0.0,65536,286,66,10.0,1604.113037109375
2020-01-04,2020-01-05,297.0400085449219,297.0400085449219,297.0400085449219,0.0,65536,286,66,10.0,1604.113037109375
2020-01-06,2020-01-07,296.739990234375,296.739990234375,296.739990234375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-08,2020-01-09,296.6199951171875,296.6199951171875,296.6199951171875,0.0,65536,286,66,10.0,1604.113037109375
2020-01-09,2020-01-10,299.0299987792969,299.0299987792969,299.0299987792969,0.0,65536,286,66,10.0,1604.113037109375
2020-01-11,2020-01-12,298.80999755859375,298.80999755859375,298.80999755859375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-13,2020-01-14,298.5,298.5,298.5,0.0,65536,286,66,10.0,1604.113037109375
2020-01-15,2020-01-16,297.75,297.75,297.75,0.0,65536,286,66,10.0,1604.113037109375
2020-01-16,2020-01-17,307.989990234375,307.989990234375,307.989990234375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-17,2020-01-18,298.2699890136719,298.2699890136719,298.2699890136719,0.0,65536,286,66,10.0,1604.113037109375
2020-01-18,2020-01-19,300.8299865722656,300.8299865722656,300.8299865722656,0.0,65536,286,66,10.0,1604.113037109375
2020-01-20,2020-01-21,296.2699890136719,296.2699890136719,296.2699890136719,0.0,65536,286,66,10.0,1604.113037109375
2020-01-22,2020-01-23,296.25,296.25,296.25,0.0,65536,286,66,10.0,1604.113037109375
2020-01-24,2020-01-25,295.8900146484375,295.8900146484375,295.8900146484375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-25,2020-01-26,297.95001220703125,297.95001220703125,297.95001220703125,0.0,65536,286,66,10.0,1604.113037109375
2020-01-27,2020-01-28,296.7200012207031,296.7200012207031,296.7200012207031,0.0,65536,286,66,10.0,1604.113037109375
2020-01-29,2020-01-30,296.69000244140625,296.69000244140625,296.69000244140625,0.0,65536,286,66,10.0,1604.113037109375
2020-01-31,2020-02-01,297.6000061035156,297.6000061035156,297.6000061035156,0.0,65536,286,66,10.0,1604.113037109375
2020-02-01,2020-02-02,305.19000244140625,305.19000244140625,305.19000244140625,0.0,65536,286,66,10.0,1604.113037109375
2020-02-02,2020-02-03,295.8299865722656,295.8299865722656,295.8299865722656,0.0,65536,286,66,10.0,1604.113037109375
2020-02-03,2020-02-04,298.79998779296875,298.79998779296875,298.79998779296875,0.0,65536,286,66,10.0,1604.113037109375
2020-02-05,2020-02-06,297.70001220703125,297.70001220703125,297.70001220703125,0.0,65536,286,66,10.0,1604.113037109375
2020-02-07,2020-02-08,298.8699951171875,298.8699951171875,298.8699951171875,0.0,65536,286,66,10.0,1604.113037109375
2020-02-09,2020-02-10,297.510009765625,297.510009765625,297.510009765625,0.0,65536,286,66,10.0,1604.113037109375
2020-02-10,2020-02-11,300.75,300.75,300.75,0.0,65536,286,66,10.0,1604.113037109375
2020-02-12,2020-02-13,300.3500061035156,300.3500061035156,300.3500061035156,0.0,65536,286,66,10.0,1604.113037109375
2020-02-14,2020-02-15,300.1700134277344,300.1700134277344,300.1700134277344,0.0,65536,286,66,10.0,1604.113037109375
2020-02-16,2020-02-17,299.2200012207031,299.2200012207031,299.2200012207031,0.0,65536,286,66,10.0,1604.113037109375
2020-02-17,2020-02-18,310.3500061035156,310.3500061035156,310.3500061035156,0.0,65536,286,66,10.0,1604.113037109375
