landcover,year,month,lst_monthly_mean,n_points,month_date
forest,2020,10,14.317342738718313,1216,2020-10-01
forest,2020,11,14.628575146622202,1214,2020-11-01
forest,2020,12,14.52560851140424,1280,2020-12-01
forest,2021,1,14.526945467410433,1216,2021-01-01
forest,2021,2,15.185985547577069,1088,2021-02-01
forest,2021,3,14.814235593147988,1216,2021-03-01
forest,2021,4,15.205314425028858,1216,2021-04-01
forest,2021,5,15.300667651464586,1280,2021-05-01
forest,2021,6,14.906001052567452,1216,2021-06-01
forest,2021,7,15.29733072019661,1216,2021-07-01
forest,2021,8,14.659636730829442,1213,2021-08-01
forest,2021,9,14.773794142307437,1216,2021-09-01
forest,2021,10,14.738592938873024,1280,2021-10-01
forest,2021,11,14.93470841134472,1216,2021-11-01
forest,2021,12,15.244661860135626,1216,2021-12-01
forest,2022,1,14.646621690740325,1216,2022-01-01
forest,2022,2,14.189922624669288,1088,2022-02-01
forest,2022,3,15.241368062494669,1280,2022-03-01
forest,2022,4,14.58366857647011,1216,2022-04-01
forest,2022,5,14.489594502258173,1215,2022-05-01
forest,2022,6,13.314681793172104,1133,2022-06-01
forest,2022,7,14.906374800389814,1219,2022-07-01
forest,2022,8,14.525946134074804,1286,2022-08-01
forest,2022,9,13.758459704415356,1215,2022-09-01
forest,2022,10,14.66247097293098,1202,2022-10-01
forest,2022,11,14.859252905726294,1151,2022-11-01
forest,2022,12,14.942281607921387,1216,2022-12-01
forest,2023,1,14.575525268795523,1280,2023-01-01
forest,2023,2,14.591924716278795,1152,2023-02-01
forest,2023,3,14.872272241464696,1216,2023-03-01
forest,2023,4,16.12199958927739,1226,2023-04-01
forest,2023,5,16.454622303339626,1167,2023-05-01
forest,2023,6,15.704856768823191,1216,2023-06-01
forest,2023,7,16.859860332085724,1280,2023-07-01
forest,2023,8,15.84951372963634,1215,2023-08-01
forest,2023,9,16.17596650208535,1152,2023-09-01
forest,2023,10,14.385052281779256,1181,2023-10-01
forest,2023,11,15.791298879944874,1216,2023-11-01
forest,2023,12,16.721906255177934,1280,2023-12-01
forest,2024,1,16.35928940099614,1250,2024-01-01
forest,2024,2,16.725644599758468,1149,2024-02-01
forest,2024,3,17.256888533254905,1280,2024-03-01
forest,2024,4,16.740178429998863,1216,2024-04-01
forest,2024,5,16.352490313425776,1214,2024-05-01
forest,2024,6,15.176048963067714,1215,2024-06-01
forest,2024,7,15.885300328650896,1216,2024-07-01
forest,2024,8,15.70044737845622,1216,2024-08-01
forest,2024,9,15.792637938454707,1200,2024-09-01
forest,2024,10,15.783722017983006,1152,2024-10-01
open_land,2020,10,16.221341373607366,1216,2020-10-01
open_land,2020,11,15.980016414553427,1214,2020-11-01
open_land,2020,12,16.270618065302056,1280,2020-12-01
open_land,2021,1,17.06442789577945,1216,2021-01-01
open_land,2021,2,18.584839209901972,1088,2021-02-01
open_land,2021,3,18.70137160048038,1216,2021-03-01
open_land,2021,4,19.477722919910263,1216,2021-04-01
open_land,2021,5,19.260794057898547,1280,2021-05-01
open_land,2021,6,18.100693666536426,1216,2021-06-01
open_land,2021,7,18.07319489048123,1216,2021-07-01
open_land,2021,8,17.278948815313925,1213,2021-08-01
open_land,2021,9,17.077217327438767,1216,2021-09-01
open_land,2021,10,16.88379432150141,1280,2021-10-01
open_land,2021,11,16.97006094856043,1216,2021-11-01
open_land,2021,12,17.42525834971258,1216,2021-12-01
open_land,2022,1,17.376998609841134,1216,2022-01-01
open_land,2022,2,17.67545097161972,1088,2022-02-01
open_land,2022,3,20.118423626415755,1280,2022-03-01
open_land,2022,4,19.809038512250076,1216,2022-04-01
open_land,2022,5,19.382845780759396,1215,2022-05-01
open_land,2022,6,16.480640174458024,1133,2022-06-01
open_land,2022,7,17.52302298551661,1219,2022-07-01
open_land,2022,8,16.976906597290363,1285,2022-08-01
open_land,2022,9,15.891046555886426,1215,2022-09-01
open_land,2022,10,16.66583324368839,1203,2022-10-01
open_land,2022,11,16.944793434251096,1151,2022-11-01
open_land,2022,12,17.230671703661113,1216,2022-12-01
open_land,2023,1,17.292195028727704,1280,2023-01-01
open_land,2023,2,18.325920359855182,1152,2023-02-01
open_land,2023,3,19.882826029535728,1216,2023-03-01
open_land,2023,4,21.01636340446605,1226,2023-04-01
open_land,2023,5,20.773719605868862,1168,2023-05-01
open_land,2023,6,19.258160879285576,1216,2023-06-01
open_land,2023,7,19.609841091134726,1280,2023-07-01
open_land,2023,8,18.33946503028897,1214,2023-08-01
open_land,2023,9,18.48766997073297,1152,2023-09-01
open_land,2023,10,16.387173803222684,1181,2023-10-01
open_land,2023,11,17.539692127075682,1216,2023-11-01
open_land,2023,12,18.732452857887576,1280,2023-12-01
open_land,2024,1,18.7684637850518,1250,2024-01-01
open_land,2024,2,20.241019673680984,1149,2024-02-01
open_land,2024,3,22.241002448297593,1280,2024-03-01
open_land,2024,4,22.307069739313828,1216,2024-04-01
open_land,2024,5,21.53692299509754,1214,2024-05-01
open_land,2024,6,19.490205080056683,1215,2024-06-01
open_land,2024,7,19.484120916574728,1216,2024-07-01
open_land,2024,8,18.40678293252469,1216,2024-08-01
open_land,2024,9,17.910866368871204,1199,2024-09-01
open_land,2024,10,17.500342071195416,1152,2024-10-01
