interval_from,interval_to,LST,land_type,Id,land_type_label
2023-01-01,2023-01-02,302.2699890136719,10,Site-001,forest
2023-01-03,2023-01-04,302.04998779296875,10,Site-001,forest
2023-01-05,2023-01-06,303.0400085449219,10,Site-001,forest
2023-01-07,2023-01-08,304.2200012207031,10,Site-001,forest
2023-01-08,2023-01-09,302.6300048828125,10,Site-001,forest
2023-01-09,2023-01-10,299.57000732421875,10,Site-001,forest
2023-01-10,2023-01-11,297.5899963378906,10,Site-001,forest
2023-01-12,2023-01-13,301.010009765625,10,Site-001,forest
2023-01-14,2023-01-15,302.42999267578125,10,Site-001,forest
2023-01-16,2023-01-17,304.9599914550781,10,Site-001,forest
2023-01-17,2023-01-18,302.9200134277344,10,Site-001,forest
2023-01-19,2023-01-20,303.44000244140625,10,Site-001,forest
2023-01-21,2023-01-22,301.57000732421875,10,Site-001,forest
2023-01-23,2023-01-24,300.6499938964844,10,Site-001,forest
2023-01-24,2023-01-25,302.7200012207031,10,Site-001,forest
2023-01-25,2023-01-26,304.3099975585937,10,Site-001,forest
2023-01-26,2023-01-27,302.239990234375,10,Site-001,forest
2023-01-28,2023-01-29,303.9100036621094,10,Site-001,forest
2023-01-30,2023-01-31,304.3599853515625,10,Site-001,forest
2023-02-01,2023-02-02,304.0599975585937,10,Site-001,forest
2023-02-02,2023-02-03,302.239990234375,10,Site-001,forest
2023-02-04,2023-02-05,302.8399963378906,10,Site-001,forest
2023-02-06,2023-02-07,303.57000732421875,10,Site-001,forest
2023-02-08,2023-02-09,305.07000732421875,10,Site-001,forest
2023-02-09,2023-02-10,302.989990234375,10,Site-001,forest
2023-02-10,2023-02-11,304.69000244140625,10,Site-001,forest
2023-02-11,2023-02-12,304.0199890136719,10,Site-001,forest
2023-02-13,2023-02-14,304.3099975585937,10,Site-001,forest
2023-02-15,2023-02-16,305.3299865722656,10,Site-001,forest
2023-02-17,2023-02-18,305.6400146484375,10,Site-001,forest
2023-02-18,2023-02-19,303.7200012207031,10,Site-001,forest
2023-02-20,2023-02-21,303.2900085449219,10,Site-001,forest
2023-02-22,2023-02-23,304.3699951171875,10,Site-001,forest
2023-02-24,2023-02-25,305.19000244140625,10,Site-001,forest
2023-02-25,2023-02-26,303.2300109863281,10,Site-001,forest
2023-02-26,2023-02-27,305.54998779296875,10,Site-001,forest
2023-02-27,2023-02-28,304.3099975585937,10,Site-001,forest
2023-03-01,2023-03-02,304.8800048828125,10,Site-001,forest
2023-03-03,2023-03-04,304.9700012207031,10,Site-001,forest
2023-03-05,2023-03-06,304.8099975585937,10,Site-001,forest
2023-03-06,2023-03-07,300.9700012207031,10,Site-001,forest
2023-03-08,2023-03-09,295.2799987792969,10,Site-001,forest
2023-03-10,2023-03-11,300.4100036621094,10,Site-001,forest
2023-03-12,2023-03-13,302.8900146484375,10,Site-001,forest
2023-03-13,2023-03-14,299.79998779296875,10,Site-001,forest
2023-03-14,2023-03-15,303.32000732421875,10,Site-001,forest
2023-03-15,2023-03-16,300.3999938964844,10,Site-001,forest
2023-03-17,2023-03-18,300.5299987792969,10,Site-001,forest
2023-03-19,2023-03-20,303.2200012207031,10,Site-001,forest
2023-03-21,2023-03-22,305.3299865722656,10,Site-001,forest
2023-03-22,2023-03-23,301.6499938964844,10,Site-001,forest
2023-03-24,2023-03-25,302.92999267578125,10,Site-001,forest
2023-03-26,2023-03-27,300.57000732421875,10,Site-001,forest
2023-03-28,2023-03-29,304.739990234375,10,Site-001,forest
2023-03-29,2023-03-30,298.19000244140625,10,Site-001,forest
2023-03-30,2023-03-31,304.2900085449219,10,Site-001,forest
2023-03-31,2023-04-01,302.8900146484375,10,Site-001,forest
2023-01-01,2023-01-02,302.989990234375,10,Site-002,forest
2023-01-03,2023-01-04,302.3399963378906,10,Site-002,forest
2023-01-05,2023-01-06,302.8900146484375,10,Site-002,forest
2023-01-07,2023-01-08,304.1300048828125,10,Site-002,forest
2023-01-08,2023-01-09,303.4800109863281,10,Site-002,forest
2023-01-09,2023-01-10,299.1499938964844,10,Site-002,forest
2023-01-10,2023-01-11,301.0,10,Site-002,forest
2023-01-12,2023-01-13,302.2699890136719,10,Site-002,forest
2023-01-14,2023-01-15,302.2099914550781,10,Site-002,forest
2023-01-16,2023-01-17,304.3299865722656,10,Site-002,forest
2023-01-17,2023-01-18,303.6700134277344,10,Site-002,forest
2023-01-19,2023-01-20,304.0899963378906,10,Site-002,forest
2023-01-21,2023-01-22,303.739990234375,10,Site-002,forest
2023-01-23,2023-01-24,305.1400146484375,10,Site-002,forest
2023-01-24,2023-01-25,304.5400085449219,10,Site-002,forest
2023-01-25,2023-01-26,304.4800109863281,10,Site-002,forest
2023-01-26,2023-01-27,303.32000732421875,10,Site-002,forest
2023-01-28,2023-01-29,306.0799865722656,10,Site-002,forest
2023-01-30,2023-01-31,306.2300109863281,10,Site-002,forest
2023-02-01,2023-02-02,305.8500061035156,10,Site-002,forest
2023-02-02,2023-02-03,304.67999267578125,10,Site-002,forest
2023-02-04,2023-02-05,304.9200134277344,10,Site-002,forest
2023-02-06,2023-02-07,305.4200134277344,10,Site-002,forest
2023-02-08,2023-02-09,307.3399963378906,10,Site-002,forest
2023-02-09,2023-02-10,305.6400146484375,10,Site-002,forest
2023-02-10,2023-02-11,306.54998779296875,10,Site-002,forest
2023-02-11,2023-02-12,306.5899963378906,10,Site-002,forest
2023-02-13,2023-02-14,307.6499938964844,10,Site-002,forest
2023-02-15,2023-02-16,307.0400085449219,10,Site-002,forest
2023-02-17,2023-02-18,307.8800048828125,10,Site-002,forest
2023-02-18,2023-02-19,306.82000732421875,10,Site-002,forest
2023-02-20,2023-02-21,305.8299865722656,10,Site-002,forest
2023-02-22,2023-02-23,306.54998779296875,10,Site-002,forest
2023-02-24,2023-02-25,307.3900146484375,10,Site-002,forest
2023-02-25,2023-02-26,306.79998779296875,10,Site-002,forest
2023-02-26,2023-02-27,307.7300109863281,10,Site-002,forest
2023-02-27,2023-02-28,306.94000244140625,10,Site-002,forest
2023-03-01,2023-03-02,308.1199951171875,10,Site-002,forest
2023-03-03,2023-03-04,307.989990234375,10,Site-002,forest
2023-03-05,2023-03-06,307.0899963378906,10,Site-002,forest
2023-03-06,2023-03-07,303.4599914550781,10,Site-002,forest
2023-03-08,2023-03-09,295.7099914550781,10,Site-002,forest
2023-03-10,2023-03-11,301.3800048828125,10,Site-002,forest
2023-03-12,2023-03-13,303.8800048828125,10,Site-002,forest
2023-03-13,2023-03-14,300.4200134277344,10,Site-002,forest
2023-03-14,2023-03-15,304.5299987792969,10,Site-002,forest
2023-03-15,2023-03-16,303.0799865722656,10,Site-002,forest
2023-03-17,2023-03-18,302.1199951171875,10,Site-002,forest
2023-03-19,2023-03-20,305.5,10,Site-002,forest
2023-03-21,2023-03-22,306.70001220703125,10,Site-002,forest
2023-03-22,2023-03-23,304.2799987792969,10,Site-002,forest
2023-03-24,2023-03-25,305.0599975585937,10,Site-002,forest
2023-03-26,2023-03-27,304.7699890136719,10,Site-002,forest
2023-03-28,2023-03-29,306.6700134277344,10,Site-002,forest
2023-03-29,2023-03-30,300.3099975585937,10,Site-002,forest
2023-03-30,2023-03-31,306.0799865722656,10,Site-002,forest
2023-03-31,2023-04-01,305.2699890136719,10,Site-002,forest
2023-01-01,2023-01-02,301.8999938964844,10,Site-003,forest
2023-01-03,2023-01-04,301.5799865722656,10,Site-003,forest
2023-01-05,2023-01-06,302.1700134277344,10,Site-003,forest
2023-01-07,2023-01-08,302.5199890136719,10,Site-003,forest
2023-01-08,2023-01-09,302.2300109863281,10,Site-003,forest
2023-01-09,2023-01-10,294.010009765625,10,Site-003,forest
2023-01-10,2023-01-11,301.5,10,Site-003,forest
2023-01-12,2023-01-13,301.9200134277344,10,Site-003,forest
2023-01-14,2023-01-15,302.260009765625,10,Site-003,forest
2023-01-16,2023-01-17,302.4100036621094,10,Site-003,forest
2023-01-17,2023-01-18,302.760009765625,10,Site-003,forest
2023-01-19,2023-01-20,303.1199951171875,10,Site-003,forest
2023-01-21,2023-01-22,302.260009765625,10,Site-003,forest
2023-01-23,2023-01-24,303.1099853515625,10,Site-003,forest
2023-01-24,2023-01-25,303.0599975585937,10,Site-003,forest
2023-01-25,2023-01-26,301.9800109863281,10,Site-003,forest
2023-01-26,2023-01-27,303.010009765625,10,Site-003,forest
2023-01-28,2023-01-29,304.3699951171875,10,Site-003,forest
2023-01-30,2023-01-31,304.0799865722656,10,Site-003,forest
2023-02-01,2023-02-02,303.760009765625,10,Site-003,forest
2023-02-02,2023-02-03,304.2200012207031,10,Site-003,forest
2023-02-04,2023-02-05,304.2900085449219,10,Site-003,forest
2023-02-06,2023-02-07,304.489990234375,10,Site-003,forest
2023-02-08,2023-02-09,305.4200134277344,10,Site-003,forest
2023-02-09,2023-02-10,304.82000732421875,10,Site-003,forest
2023-02-10,2023-02-11,304.6400146484375,10,Site-003,forest
2023-02-11,2023-02-12,305.6400146484375,10,Site-003,forest
2023-02-13,2023-02-14,305.7699890136719,10,Site-003,forest
2023-02-15,2023-02-16,305.5,10,Site-003,forest
