interval_from,interval_to,LST,land_type,Id,land_type_label
2023-01-01,2023-01-02,293.8599853515625,10,Site-001,forest
2023-01-02,2023-01-03,290.6600036621094,10,Site-001,forest
2023-01-03,2023-01-04,292.25,10,Site-001,forest
2023-01-04,2023-01-05,289.3999938964844,10,Site-001,forest
2023-01-06,2023-01-07,292.9800109863281,10,Site-001,forest
2023-01-08,2023-01-09,292.010009765625,10,Site-001,forest
2023-01-10,2023-01-11,292.29998779296875,10,Site-001,forest
2023-01-11,2023-01-12,290.8800048828125,10,Site-001,forest
2023-01-13,2023-01-14,292.3900146484375,10,Site-001,forest
2023-01-15,2023-01-16,291.2900085449219,10,Site-001,forest
2023-01-17,2023-01-18,294.44000244140625,10,Site-001,forest
2023-01-18,2023-01-19,291.95001220703125,10,Site-001,forest
2023-01-19,2023-01-20,296.20001220703125,10,Site-001,forest
2023-01-20,2023-01-21,290.8900146484375,10,Site-001,forest
2023-01-22,2023-01-23,292.1300048828125,10,Site-001,forest
2023-01-24,2023-01-25,292.7099914550781,10,Site-001,forest
2023-01-26,2023-01-27,293.57000732421875,10,Site-001,forest
2023-01-27,2023-01-28,290.3399963378906,10,Site-001,forest
2023-01-29,2023-01-30,288.3599853515625,10,Site-001,forest
2023-01-31,2023-02-01,292.05999755859375,10,Site-001,forest
2023-02-02,2023-02-03,291.8699951171875,10,Site-001,forest
2023-02-03,2023-02-04,289.1499938964844,10,Site-001,forest
2023-02-04,2023-02-05,293.32000732421875,10,Site-001,forest
2023-02-05,2023-02-06,288.739990234375,10,Site-001,forest
2023-02-07,2023-02-08,291.3900146484375,10,Site-001,forest
2023-02-09,2023-02-10,291.5199890136719,10,Site-001,forest
2023-02-11,2023-02-12,293.2699890136719,10,Site-001,forest
2023-02-12,2023-02-13,288.67999267578125,10,Site-001,forest
2023-02-14,2023-02-15,289.32000732421875,10,Site-001,forest
2023-02-16,2023-02-17,291.7300109863281,10,Site-001,forest
2023-02-18,2023-02-19,292.3900146484375,10,Site-001,forest
2023-02-19,2023-02-20,288.04998779296875,10,Site-001,forest
2023-02-20,2023-02-21,293.4100036621094,10,Site-001,forest
2023-02-21,2023-02-22,286.3800048828125,10,Site-001,forest
2023-02-23,2023-02-24,288.8299865722656,10,Site-001,forest
2023-02-25,2023-02-26,289.57000732421875,10,Site-001,forest
2023-02-27,2023-02-28,293.19000244140625,10,Site-001,forest
2023-02-28,2023-03-01,290.70001220703125,10,Site-001,forest
2023-03-02,2023-03-03,289.94000244140625,10,Site-001,forest
2023-03-04,2023-03-05,291.70001220703125,10,Site-001,forest
2023-03-06,2023-03-07,293.1600036621094,10,Site-001,forest
2023-03-07,2023-03-08,288.8299865722656,10,Site-001,forest
2023-03-08,2023-03-09,293.57000732421875,10,Site-001,forest
2023-03-09,2023-03-10,288.69000244140625,10,Site-001,forest
2023-03-11,2023-03-12,287.7300109863281,10,Site-001,forest
2023-03-13,2023-03-14,291.1600036621094,10,Site-001,forest
2023-03-15,2023-03-16,290.989990234375,10,Site-001,forest
2023-03-16,2023-03-17,287.6000061035156,10,Site-001,forest
2023-03-18,2023-03-19,289.4100036621094,10,Site-001,forest
2023-03-20,2023-03-21,291.7799987792969,10,Site-001,forest
2023-03-22,2023-03-23,292.69000244140625,10,Site-001,forest
2023-03-23,2023-03-24,290.5,10,Site-001,forest
2023-03-24,2023-03-25,292.5799865722656,10,Site-001,forest
2023-03-25,2023-03-26,290.6600036621094,10,Site-001,forest
2023-03-27,2023-03-28,291.5799865722656,10,Site-001,forest
2023-03-29,2023-03-30,294.5,10,Site-001,forest
2023-03-31,2023-04-01,293.5,10,Site-001,forest
2023-04-01,2023-04-02,293.1600036621094,10,Site-001,forest
2023-04-03,2023-04-04,291.3500061035156,10,Site-001,forest
2023-04-05,2023-04-06,292.239990234375,10,Site-001,forest
2023-04-07,2023-04-08,288.989990234375,10,Site-001,forest
2023-04-08,2023-04-09,290.6099853515625,10,Site-001,forest
2023-04-09,2023-04-10,294.92999267578125,10,Site-001,forest
2023-04-10,2023-04-11,291.07000732421875,10,Site-001,forest
2023-04-12,2023-04-13,294.2900085449219,10,Site-001,forest
2023-04-14,2023-04-15,293.20001220703125,10,Site-001,forest
2023-04-16,2023-04-17,296.6099853515625,10,Site-001,forest
2023-04-17,2023-04-18,291.79998779296875,10,Site-001,forest
2023-04-19,2023-04-20,292.75,10,Site-001,forest
2023-04-21,2023-04-22,290.7099914550781,10,Site-001,forest
